tipo_celular,module_size,BCL6_MM,BCL6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.208,65.0,73,7,9.59,3.49 (3.08-3.90),66,90.41,3.57 (3.19-3.96),2.70,3.28
T cells 18,282.0,0.255,93.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,322.0,0.284,86.0,58,14,24.14,3.21 (2.48-3.95),44,75.86,4.56 (4.09-5.02),2.05,2.40
oligodendrocyte progenitor cells 7,200.0,0.14,34.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,599.0,0.333,92.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,685.0,0.334,94.0,135,34,25.19,2.42 (1.93-2.91),101,74.81,3.52 (3.16-3.88),3.50,3.83
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.187,44.0,62,4,6.45,3.67 (2.12-5.21),58,93.55,4.08 (3.61-4.55),2.27,4.34
oligodendrocytes 20,348.0,0.237,81.0,33,2,6.06,3.21 (2.29-4.12),31,93.94,2.70 (2.18-3.22),2.05,3.47
GABA like neurons 14,1300.0,0.029,1.0,306,23,7.52,2.85 (2.24-3.45),283,92.48,5.38 (5.12-5.64),7.07,6.68
astrocytes 8,279.0,0.31,68.0,78,13,16.67,2.70 (2.19-3.21),65,83.33,4.70 (4.26-5.14),2.60,2.73
oligodendrocyte progenitor cells 12,218.0,0.259,51.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,1277.0,0.091,38.0,27,1,3.7,6.33 (NA-NA),26,96.3,5.35 (4.44-6.26),1.48,6.56
connective tissue cells 21,147.0,0.307,81.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,1401.0,0.1,64.0,96,9,9.38,2.52 (1.78-3.26),87,90.62,3.74 (3.25-4.22),3.86,3.79
oligodendrocytes 16,78.0,0.163,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,91.0,0.374,87.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,171.0,0.328,95.0,22,2,9.09,6.16 (5.81-6.51),20,90.91,4.33 (3.33-5.32),2.27,1.99
oligodendrocytes 0,613.0,0.14,48.0,127,21,16.54,2.46 (2.02-2.90),106,83.46,3.22 (2.71-3.73),3.33,6.86
microglia 1,813.0,0.225,96.0,79,2,2.53,3.32 (1.20-5.44),77,97.47,3.09 (2.68-3.51),5.38,7.97
oligodendrocytes 3,854.0,0.203,99.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,921.0,0.145,65.0,200,7,3.5,2.45 (1.84-3.06),193,96.5,3.66 (3.39-3.93),4.46,3.43
