tipo_celular,module_size,CEP57_MM,CEP57_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.206,78.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,624.0,0.169,64.0,142,2,1.41,NA,140,98.59,3.21 (2.94-3.48),7.22,4.26
astrocytes 5,1656.0,0.11,41.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48),2.54,5.01
oligodendrocyte progenitor cells 7,4285.0,0.14,58.0,353,18,5.1,1.48 (0.83-2.13),335,94.9,4.04 (3.86-4.22),29.51,6.91
GABA neurons expressing GLU receptors 22,823.0,0.207,69.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12),2.40,3.52
GLU like neurons 17,300.0,0.194,56.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,87.0,0.075,2.0,3,0,0.0,NA,3,100.0,NA,NA,1.68
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.076,11.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88),6.04,5.51
oligodendrocytes 20,322.0,0.089,34.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.153,62.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67),4.98,8.70
astrocytes 8,577.0,0.034,5.0,83,3,3.61,3.31 (0.92-5.70),80,96.39,3.25 (2.79-3.71),1.72,4.57
oligodendrocyte progenitor cells 12,3303.0,0.094,68.0,276,13,4.71,1.88 (1.12-2.64),263,95.29,3.62 (3.40-3.84),6.20,5.06
oligodendrocytes 10,2107.0,0.193,67.0,358,19,5.31,1.15 (0.69-1.62),339,94.69,4.05 (3.86-4.23),26.03,8.54
connective tissue cells 21,84.0,0.335,78.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,377.0,0.165,59.0,14,6,42.86,1.51 (-0.49-3.50),8,57.14,2.55 (0.91-4.20),3.01,2.03
oligodendrocytes 16,108.0,0.136,19.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00),NA,2.53
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.267,21.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80),NA,3.04
astrocytes 4,787.0,0.18,93.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36),2.41,5.80
oligodendrocytes 0,613.0,0.114,19.0,127,1,0.79,4.08 (NA-NA),126,99.21,3.04 (2.62-3.46),1.71,6.31
microglia 1,1615.0,0.083,13.0,161,13,8.07,1.15 (0.49-1.81),148,91.93,3.49 (3.23-3.74),14.46,4.64
oligodendrocytes 3,854.0,0.079,37.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921.0,0.118,20.0,200,2,1.0,2.24 (NA-NA),198,99.0,3.63 (3.36-3.90),2.46,3.47
