tipo_celular,module_size,TSPAN14_MM,TSPAN14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.132,31.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,727.0,0.127,37.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,423.0,0.084,4.0,80,2,2.5,2.99 (-0.84-6.82),78,97.5,3.41 (2.93-3.89),2.64,5.08
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,567.0,0.158,35.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.218,56.0,120,14,11.67,2.64 (2.33-2.95),106,88.33,4.91 (4.59-5.23),5.53,3.40
oligodendrocytes 20,358.0,0.061,22.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,47.0,0.045,22.0,76,0,0.0,NA,76,100.0,4.02 (3.72-4.33),NA,4.61
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.223,75.0,358,29,8.1,1.48 (1.10-1.86),329,91.9,4.14 (3.96-4.32),28.36,7.81
connective tissue cells 21,139.0,0.357,78.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,1768.0,0.076,40.0,105,19,18.1,1.89 (1.44-2.35),86,81.9,3.53 (3.17-3.90),6.57,3.41
oligodendrocytes 16,121.0,0.267,79.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.261,53.0,57,1,1.75,2.54 (NA-NA),56,98.25,2.65 (2.29-3.02),3.46,3.33
astrocytes 4,1807.0,0.138,37.0,104,17,16.35,1.71 (1.23-2.20),87,83.65,3.11 (2.81-3.41),12.17,4.07
oligodendrocytes 0,613.0,0.093,6.0,127,7,5.51,2.97 (1.94-4.01),120,94.49,3.06 (2.61-3.50),3.94,6.41
microglia 1,813.0,0.11,43.0,79,6,7.59,2.83 (2.25-3.41),73,92.41,3.13 (2.69-3.56),3.32,8.28
oligodendrocytes 3,187.0,0.101,46.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,1630.0,0.138,43.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
