tipo_celular,module_size,CNTN4_MM,CNTN4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,7,1.98,1.64 (0.93-2.34),346,98.02,3.95 (3.76-4.13),9.91,8.03
GABA neurons expressing GLU receptors 22,459.0,0.338,93.0,165,27,16.36,3.84 (2.97-4.72),138,83.64,5.37 (5.03-5.72),3.63,4.18
GLU like neurons 17,489.0,0.148,57.0,42,21,50.0,5.89 (5.15-6.62),21,50.0,6.15 (5.28-7.03),3.63,2.80
da like neurons 11,191.0,0.451,85.0,93,42,45.16,5.21 (4.60-5.82),51,54.84,6.04 (5.54-6.55),4.81,3.58
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.538,92.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58),2.42,4.30
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.198,46.0,306,64,20.92,4.34 (3.78-4.91),242,79.08,5.37 (5.09-5.66),13.61,4.88
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.109,51.0,103,25,24.27,5.67 (4.81-6.54),78,75.73,5.50 (5.07-5.93),4.48,2.64
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.218,91.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
