tipo_celular,module_size,CCT7_MM,CCT7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.179,65.0,59,1,1.69,4.02 (NA-NA),58,98.31,3.09 (2.58-3.60),3.10,5.38
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.179,59.0,164,2,1.22,4.11 (3.81-4.41),162,98.78,4.08 (3.75-4.42),8.00,7.52
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.277,76.0,410,54,13.17,4.56 (3.84-5.27),356,86.83,4.21 (4.02-4.41),9.33,7.24
GABA neurons expressing GABA receptors 13,265.0,0.114,22.0,78,6,7.69,4.08 (2.46-5.69),72,92.31,4.39 (3.96-4.82),4.92,4.21
endothelial cells 9,916.0,0.188,44.0,302,5,1.66,2.67 (1.19-4.15),297,98.34,4.01 (3.78-4.24),10.23,10.66
oligodendrocytes 20,271.0,0.104,16.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402.0,0.52,90.0,455,54,11.87,3.54 (2.82-4.27),401,88.13,4.45 (4.26-4.63),15.18,7.98
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.082,43.0,235,21,8.94,5.23 (4.36-6.10),214,91.06,3.74 (3.51-3.98),7.69,7.61
oligodendrocytes 10,735.0,0.255,96.0,277,33,11.91,6.44 (5.79-7.09),244,88.09,3.76 (3.52-4.00),3.13,9.73
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.2,53.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.277,92.0,235,51,21.7,5.11 (4.52-5.71),184,78.3,3.74 (3.48-3.99),5.70,4.06
astrocytes microglia 23,96.0,0.34,63.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.147,36.0,252,28,11.11,2.84 (1.89-3.78),224,88.89,4.27 (4.03-4.51),16.37,7.19
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.116,51.0,345,70,20.29,4.80 (4.29-5.31),275,79.71,4.17 (3.94-4.39),7.91,5.13
oligodendrocytes 2,528.0,0.26,76.0,175,53,30.29,5.21 (4.56-5.87),122,69.71,4.12 (3.72-4.51),5.29,4.33
