tipo_celular,module_size,SDAD1_MM,SDAD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.111,16.0,97,1,1.03,5.72 (NA-NA),96,98.97,3.02 (2.63-3.41),1.66,4.94
T cells 18,624.0,0.102,14.0,142,3,2.11,4.92 (4.14-5.70),139,97.89,3.17 (2.90-3.44),3.73,4.31
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,27,7.65,2.48 (1.88-3.08),326,92.35,4.04 (3.86-4.23),29.68,6.27
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1316.0,0.138,63.0,101,2,1.98,3.45 (2.28-4.62),99,98.02,3.04 (2.68-3.40),1.72,3.08
da like neurons 11,153.0,0.256,53.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,77.0,0.123,14.0,8,1,12.5,2.54 (NA-NA),7,87.5,3.28 (2.09-4.47),2.49,1.66
endothelial cells 9,385.0,0.077,20.0,275,18,6.55,2.05 (1.43-2.66),257,93.45,4.15 (3.89-4.42),11.85,5.46
oligodendrocytes 20,938.0,0.044,10.0,169,8,4.73,3.15 (1.87-4.43),161,95.27,3.50 (3.28-3.72),3.17,5.47
GABA like neurons 14,3052.0,0.139,50.0,125,2,1.6,4.52 (4.52-4.52),123,98.4,3.33 (3.00-3.66),1.96,8.72
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.028,2.0,32,7,21.88,0.91 (0.27-1.56),25,78.12,4.02 (3.20-4.84),4.15,2.16
oligodendrocytes 10,2107.0,0.06,9.0,358,24,6.7,2.34 (1.71-2.97),334,93.3,4.01 (3.82-4.20),34.52,7.67
connective tissue cells 21,102.0,0.22,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,87.0,0.222,70.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.079,15.0,122,11,9.02,1.61 (1.01-2.21),111,90.98,4.31 (3.92-4.70),4.85,3.35
astrocytes microglia 23,121.0,0.285,35.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.105,31.0,238,7,2.94,3.39 (2.01-4.77),231,97.06,3.64 (3.42-3.87),7.81,4.94
microglia 1,813.0,0.1,29.0,79,3,3.8,4.97 (3.62-6.31),76,96.2,3.02 (2.61-3.43),3.64,8.07
oligodendrocytes 3,854.0,0.03,1.0,76,4,5.26,3.32 (1.27-5.37),72,94.74,2.75 (2.42-3.08),1.85,4.88
oligodendrocytes 2,1630.0,0.135,36.0,154,3,1.95,4.97 (3.62-6.31),151,98.05,3.21 (2.94-3.47),2.89,3.61
