tipo_celular,module_size,ZMIZ2_MM,ZMIZ2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.101,12.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.102,41.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.078,2.0,353,66,18.7,2.23 (1.95-2.51),287,81.3,4.37 (4.19-4.55),19.80,5.36
GABA neurons expressing GLU receptors 22,400.0,0.222,64.0,24,8,33.33,0.86 (0.39-1.32),16,66.67,2.81 (2.33-3.28),5.62,2.56
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,275.0,0.282,76.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2090.0,0.129,32.0,74,18,24.32,2.51 (2.08-2.95),56,75.68,3.08 (2.61-3.56),3.57,12.73
astrocytes 8,283.0,0.107,31.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,57,20.65,2.33 (2.06-2.60),219,79.35,3.95 (3.70-4.20),9.89,3.87
oligodendrocytes 10,2107.0,0.05,6.0,358,74,20.67,2.23 (1.97-2.50),284,79.33,4.45 (4.26-4.63),23.71,5.76
connective tissue cells 21,126.0,0.317,69.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74),2.15,1.68
astrocytes 15,1401.0,0.07,35.0,96,5,5.21,1.77 (1.58-1.95),91,94.79,3.74 (3.27-4.20),4.30,3.77
oligodendrocytes 16,113.0,0.1,5.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.332,54.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,1807.0,0.111,6.0,104,31,29.81,2.16 (1.75-2.56),73,70.19,3.20 (2.86-3.54),9.43,3.68
oligodendrocytes 0,2078.0,0.107,36.0,238,26,10.92,2.87 (2.46-3.28),212,89.08,3.74 (3.50-3.97),5.97,4.91
microglia 1,958.0,0.045,0.0,290,10,3.45,1.71 (1.13-2.29),280,96.55,3.90 (3.67-4.13),6.40,4.95
oligodendrocytes 3,1003.0,0.044,3.0,111,4,3.6,3.13 (2.31-3.96),107,96.4,3.31 (2.96-3.65),3.24,4.27
oligodendrocytes 2,1630.0,0.145,56.0,154,2,1.3,2.27 (1.39-3.14),152,98.7,3.26 (2.99-3.53),3.45,3.59
