tipo_celular,module_size,TIMP2_MM,TIMP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.11,17.0,71,1,1.41,0.21 (NA-NA),70,98.59,2.66 (2.25-3.07),1.95,3.60
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.159,36.0,251,5,1.99,NA,246,98.01,4.07 (3.83-4.30),6.53,6.15
GABA neurons expressing GLU receptors 22,848.0,0.517,99.0,262,23,8.78,3.22 (2.39-4.05),239,91.22,4.24 (3.98-4.50),6.47,3.88
GLU like neurons 17,380.0,0.122,17.0,39,2,5.13,3.61 (3.39-3.83),37,94.87,2.93 (2.35-3.51),1.62,2.62
da like neurons 11,1220.0,0.145,36.0,410,25,6.1,3.56 (2.98-4.15),385,93.9,4.29 (4.09-4.48),10.26,7.34
GABA neurons expressing GABA receptors 13,265.0,0.281,90.0,78,4,5.13,3.18 (3.18-3.18),74,94.87,4.40 (3.97-4.82),3.65,4.30
endothelial cells 9,303.0,0.156,42.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,938.0,0.185,75.0,169,21,12.43,3.03 (2.31-3.75),148,87.57,3.53 (3.30-3.76),4.91,5.43
GABA like neurons 14,2402.0,0.349,74.0,455,36,7.91,2.57 (1.95-3.19),419,92.09,4.51 (4.33-4.70),19.02,7.96
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.309,86.0,32,8,25.0,1.06 (0.25-1.86),24,75.0,3.98 (3.14-4.81),3.51,2.29
oligodendrocytes 10,735.0,0.13,68.0,277,4,1.44,NA,273,98.56,3.89 (3.65-4.14),3.36,9.03
connective tissue cells 21,301.0,0.242,14.0,158,23,14.56,3.86 (3.07-4.65),135,85.44,4.32 (3.91-4.73),8.16,6.88
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.168,25.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,448.0,0.179,92.0,43,2,4.65,3.73 (3.62-3.83),41,95.35,3.25 (2.70-3.81),3.84,3.45
astrocytes microglia 23,39.0,0.263,19.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,1186.0,0.11,9.0,300,3,1.0,4.19 (1.87-6.52),297,99.0,3.79 (3.58-3.99),7.45,4.12
microglia 1,346.0,0.131,38.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,639.0,0.091,46.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,528.0,0.232,66.0,175,12,6.86,3.55 (3.10-4.01),163,93.14,4.42 (4.05-4.78),8.57,4.33
