tipo_celular,module_size,MLLT6_MM,MLLT6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.09,9.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,610.0,0.171,64.0,98,20,20.41,1.42 (0.93-1.91),78,79.59,3.62 (3.33-3.91),6.14,3.50
astrocytes 5,932.0,0.079,9.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.153,77.0,353,35,9.92,1.69 (1.36-2.03),318,90.08,4.20 (4.03-4.38),22.73,6.45
GABA neurons expressing GLU receptors 22,823.0,0.205,67.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.132,52.0,133,33,24.81,1.77 (1.42-2.12),100,75.19,3.82 (3.48-4.15),6.37,3.43
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.1,27.0,297,1,0.34,5.16 (NA-NA),296,99.66,3.67 (3.46-3.87),7.30,5.51
oligodendrocytes 20,275.0,0.28,76.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2090.0,0.112,21.0,74,13,17.57,2.22 (1.97-2.48),61,82.43,3.12 (2.67-3.58),3.27,12.04
astrocytes 8,1266.0,0.097,65.0,66,7,10.61,0.61 (0.34-0.88),59,89.39,3.59 (3.22-3.97),4.09,2.82
oligodendrocyte progenitor cells 12,708.0,0.081,35.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64),4.50,2.25
oligodendrocytes 10,2107.0,0.095,26.0,358,38,10.61,1.63 (1.31-1.95),320,89.39,4.22 (4.04-4.40),27.05,7.39
connective tissue cells 21,102.0,0.299,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,367.0,0.127,39.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,156.0,0.231,73.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,61.0,0.238,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.193,99.0,61,2,3.28,5.16 (NA-NA),59,96.72,2.93 (2.52-3.34),2.58,6.14
oligodendrocytes 0,2078.0,0.127,77.0,238,11,4.62,2.41 (1.64-3.17),227,95.38,3.70 (3.48-3.93),7.22,4.92
microglia 1,1615.0,0.129,75.0,161,35,21.74,1.69 (1.36-2.03),126,78.26,3.82 (3.55-4.09),9.15,4.40
oligodendrocytes 3,681.0,0.088,43.0,87,30,34.48,1.77 (1.51-2.02),57,65.52,3.05 (2.71-3.39),4.83,3.93
oligodendrocytes 2,921.0,0.15,72.0,200,2,1.0,1.32 (NA-NA),198,99.0,3.64 (3.37-3.90),3.98,3.46
