tipo_celular,module_size,PDCD10_MM,PDCD10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.21,49.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,393.0,0.138,40.0,59,5,8.47,3.56 (3.08-4.04),54,91.53,3.06 (2.51-3.61),2.21,5.63
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.124,32.0,353,58,16.43,2.46 (2.11-2.80),295,83.57,4.27 (4.08-4.46),16.89,6.33
GABA neurons expressing GLU receptors 22,567.0,0.053,2.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68),1.54,4.33
GLU like neurons 17,1316.0,0.088,18.0,101,4,3.96,3.52 (2.84-4.20),97,96.04,3.03 (2.66-3.39),2.38,3.08
da like neurons 11,289.0,0.186,50.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.042,1.0,275,66,24.0,2.83 (2.45-3.21),209,76.0,4.48 (4.18-4.78),6.59,5.66
oligodendrocytes 20,938.0,0.037,7.0,169,25,14.79,3.14 (2.51-3.78),144,85.21,3.54 (3.30-3.77),6.51,5.17
GABA like neurons 14,3052.0,0.172,77.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.081,53.0,276,46,16.67,2.57 (2.21-2.93),230,83.33,3.81 (3.56-4.05),7.77,4.58
oligodendrocytes 10,2107.0,0.101,29.0,358,63,17.6,2.31 (2.00-2.62),295,82.4,4.32 (4.12-4.51),17.22,7.82
connective tissue cells 21,85.0,0.317,52.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.224,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.086,15.0,182,5,2.75,1.99 (1.28-2.69),177,97.25,3.69 (3.44-3.95),4.36,8.64
astrocytes microglia 23,132.0,0.338,56.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.114,49.0,238,17,7.14,3.23 (2.58-3.89),221,92.86,3.67 (3.44-3.91),5.66,4.97
microglia 1,958.0,0.091,19.0,290,38,13.1,3.39 (2.87-3.91),252,86.9,3.90 (3.65-4.15),5.10,4.98
oligodendrocytes 3,854.0,0.086,46.0,76,4,5.26,2.60 (0.97-4.22),72,94.74,2.79 (2.45-3.13),3.40,4.79
oligodendrocytes 2,528.0,0.131,12.0,175,24,13.71,3.96 (3.38-4.54),151,86.29,4.47 (4.06-4.87),7.83,4.11
