tipo_celular,module_size,MAGT1_MM,MAGT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.213,77.0,97,6,6.19,4.09 (3.06-5.12),91,93.81,2.97 (2.56-3.38),4.48,4.93
T cells 18,477.0,0.167,53.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423.0,0.189,72.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,666.0,0.172,55.0,127,3,2.36,2.44 (1.72-3.17),124,97.64,3.88 (3.54-4.23),3.56,5.89
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.121,63.0,275,15,5.45,1.08 (0.69-1.47),260,94.55,4.20 (3.95-4.45),13.65,5.43
oligodendrocytes 20,233.0,0.085,9.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,577.0,0.077,43.0,83,3,3.61,3.32 (2.82-3.82),80,96.39,3.25 (2.78-3.72),2.25,4.56
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,16,5.8,1.95 (1.51-2.39),260,94.2,3.67 (3.45-3.90),12.26,4.67
oligodendrocytes 10,2107.0,0.092,24.0,358,18,5.03,1.25 (0.80-1.70),340,94.97,4.05 (3.87-4.23),35.42,8.10
connective tissue cells 21,104.0,0.368,87.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,377.0,0.11,18.0,14,4,28.57,0.80 (0.19-1.40),10,71.43,3.03 (1.31-4.75),2.78,2.32
oligodendrocytes 16,123.0,0.205,46.0,4,1,25.0,NA,3,75.0,2.02 (0.43-3.61),1.67,3.81
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,327.0,0.235,18.0,120,15,12.5,2.17 (1.40-2.94),105,87.5,3.81 (3.51-4.12),3.27,2.73
astrocytes 4,514.0,0.191,55.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,309.0,0.126,39.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,480.0,0.234,68.0,163,2,1.23,NA,161,98.77,3.71 (3.44-3.97),3.55,5.19
oligodendrocytes 3,94.0,0.079,44.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,1630.0,0.16,85.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
