tipo_celular,module_size,PSMD8_MM,PSMD8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.09,8.0,131,1,0.76,3.50 (NA-NA),130,99.24,3.07 (2.79-3.35),1.88,4.78
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.213,74.0,164,2,1.22,3.93 (3.46-4.40),162,98.78,4.09 (3.75-4.42),1.55,7.60
GABA neurons expressing GLU receptors 22,487.0,0.439,96.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.291,79.0,410,20,4.88,3.19 (2.66-3.73),390,95.12,4.32 (4.12-4.51),8.97,7.44
GABA neurons expressing GABA receptors 13,417.0,0.235,85.0,213,31,14.55,2.30 (1.76-2.85),182,85.45,4.07 (3.83-4.32),6.41,10.24
endothelial cells 9,916.0,0.361,80.0,302,8,2.65,3.16 (1.69-4.63),294,97.35,4.00 (3.77-4.23),8.26,10.72
oligodendrocytes 20,938.0,0.212,83.0,169,11,6.51,3.00 (2.16-3.85),158,93.49,3.52 (3.30-3.75),4.58,5.42
GABA like neurons 14,2402.0,0.51,89.0,455,35,7.69,2.36 (1.87-2.85),420,92.31,4.56 (4.38-4.75),19.21,7.97
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.174,80.0,235,5,2.13,4.03 (3.69-4.37),230,97.87,3.82 (3.58-4.06),2.53,7.72
oligodendrocytes 10,806.0,0.231,69.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,158.0,0.206,54.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,409.0,0.228,84.0,235,12,5.11,2.51 (1.76-3.26),223,94.89,4.07 (3.81-4.32),8.77,4.18
astrocytes microglia 23,116.0,0.298,34.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.178,55.0,252,28,11.11,2.37 (1.82-2.92),224,88.89,4.39 (4.14-4.64),8.30,8.20
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.118,53.0,345,13,3.77,3.90 (3.77-4.04),332,96.23,4.29 (4.07-4.51),5.65,5.69
oligodendrocytes 2,526.0,0.315,66.0,213,3,1.41,4.03 (3.69-4.37),210,98.59,3.98 (3.70-4.26),2.86,8.01
