tipo_celular,module_size,DUSP10_MM,DUSP10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.199,42.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.395,96.0,127,36,28.35,3.95 (3.30-4.61),91,71.65,3.76 (3.38-4.14),3.30,6.84
GABA neurons expressing GLU receptors 22,203.0,0.417,93.0,12,2,16.67,8.28 (NA-NA),10,83.33,1.79 (0.84-2.75),1.84,4.19
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.192,75.0,18,10,55.56,1.12 (0.57-1.68),8,44.44,2.82 (1.76-3.89),4.65,2.72
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.046,9.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107.0,0.159,55.0,358,37,10.34,1.82 (1.46-2.18),321,89.66,4.18 (4.00-4.37),31.24,6.96
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,88.0,0.29,92.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,78.0,0.351,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,479.0,0.22,86.0,40,3,7.5,4.43 (3.70-5.16),37,92.5,6.01 (5.47-6.55),2.01,3.59
microglia 1,346.0,0.167,61.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,1003.0,0.205,96.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.276,77.0,114,22,19.3,4.47 (3.87-5.06),92,80.7,5.34 (4.84-5.84),4.80,4.29
