tipo_celular,module_size,DLG5_MM,DLG5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.202,76.0,80,2,2.5,2.76 (-0.61-6.12),78,97.5,3.42 (2.94-3.90),2.47,5.08
oligodendrocyte progenitor cells 7,4285.0,0.181,98.0,353,20,5.67,1.84 (1.24-2.44),333,94.33,4.04 (3.86-4.23),21.77,7.24
GABA neurons expressing GLU receptors 22,599.0,0.246,69.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,1247.0,0.154,65.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,172.0,0.442,98.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.184,50.0,54,3,5.56,4.72 (3.89-5.55),51,94.44,4.85 (4.18-5.51),2.32,5.20
oligodendrocytes 20,275.0,0.029,3.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2090.0,0.168,59.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,577.0,0.146,80.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74),1.30,4.51
oligodendrocyte progenitor cells 12,3303.0,0.065,32.0,276,14,5.07,2.51 (1.71-3.31),262,94.93,3.61 (3.39-3.83),6.41,5.04
oligodendrocytes 10,1277.0,0.053,13.0,27,1,3.7,5.62 (NA-NA),26,96.3,5.39 (4.48-6.31),3.23,6.50
connective tissue cells 21,111.0,0.359,90.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,443.0,0.087,8.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,94.0,0.19,38.0,5,1,20.0,3.78 (NA-NA),4,80.0,2.59 (1.15-4.04),2.44,1.72
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.28,24.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,514.0,0.198,59.0,95,5,5.26,1.82 (0.46-3.18),90,94.74,3.48 (3.05-3.91),3.03,4.73
oligodendrocytes 0,2078.0,0.11,41.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.077,34.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.142,50.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
