tipo_celular,module_size,AP3B2_MM,AP3B2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.088,5.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,27,7.65,2.49 (1.88-3.10),326,92.35,4.04 (3.86-4.23),21.82,6.92
GABA neurons expressing GLU receptors 22,1069.0,0.12,19.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,795.0,0.132,51.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,204.0,0.399,100.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,265.0,0.116,23.0,78,9,11.54,3.50 (2.51-4.49),69,88.46,4.51 (4.07-4.95),4.52,4.23
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.274,96.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.059,25.0,66,11,16.67,1.44 (0.60-2.28),55,83.33,3.65 (3.26-4.04),3.53,2.84
oligodendrocyte progenitor cells 12,3303.0,0.112,84.0,276,23,8.33,3.74 (3.12-4.36),253,91.67,3.52 (3.29-3.75),6.16,5.01
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.188,76.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.146,45.0,159,9,5.66,4.85 (4.01-5.70),150,94.34,4.33 (4.00-4.65),2.45,3.81
astrocytes microglia 23,96.0,0.273,22.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,1807.0,0.1,2.0,104,7,6.73,2.38 (1.02-3.73),97,93.27,2.90 (2.62-3.19),10.99,4.99
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
