tipo_celular,module_size,ARHGAP39_MM,ARHGAP39_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.132,29.0,58,11,18.97,3.54 (2.37-4.71),47,81.03,4.34 (3.90-4.77),2.27,2.33
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,489.0,0.09,18.0,42,2,4.76,4.78 (3.76-5.80),40,95.24,6.08 (5.50-6.66),4.77,3.13
da like neurons 11,215.0,0.121,20.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,295.0,0.254,75.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,2090.0,0.211,84.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,603.0,0.052,23.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.044,8.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.183,95.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,105.0,0.19,35.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,124.0,0.298,39.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,171.0,0.134,22.0,22,2,9.09,5.12 (0.07-10.17),20,90.91,4.46 (3.55-5.38),1.64,2.05
oligodendrocytes 0,117.0,0.078,5.0,4,1,25.0,6.20 (NA-NA),3,75.0,5.84 (4.52-7.16),1.51,2.33
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.188,74.0,6,4,66.67,6.20 (4.76-7.64),2,33.33,5.55 (5.23-5.87),2.02,2.09
oligodendrocytes 2,347.0,0.283,81.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
