tipo_celular,module_size,TRAF3IP1_MM,TRAF3IP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.078,2.0,32,8,25.0,5.47 (4.59-6.36),24,75.0,4.75 (4.19-5.31),4.02,3.72
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,51,14.45,2.24 (1.87-2.61),302,85.55,4.23 (4.05-4.42),15.99,6.72
GABA neurons expressing GLU receptors 22,400.0,0.166,29.0,24,9,37.5,1.09 (0.53-1.65),15,62.5,2.80 (2.27-3.32),4.66,2.94
GLU like neurons 17,380.0,0.205,75.0,39,2,5.13,2.51 (1.64-3.37),37,94.87,2.99 (2.41-3.58),4.09,2.49
da like neurons 11,59.0,0.284,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.058,3.0,297,3,1.01,3.79 (NA-NA),294,98.99,3.67 (3.47-3.88),5.21,5.52
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.125,29.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34),2.12,10.61
astrocytes 8,727.0,0.035,3.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81),2.39,3.59
oligodendrocyte progenitor cells 12,3303.0,0.05,15.0,276,43,15.58,2.55 (2.15-2.95),233,84.42,3.78 (3.54-4.02),7.53,4.66
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,100.0,0.247,42.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,1401.0,0.059,25.0,96,15,15.62,3.34 (2.72-3.96),81,84.38,3.68 (3.14-4.21),4.18,3.73
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.313,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.156,60.0,65,10,15.38,4.27 (3.68-4.86),55,84.62,2.79 (2.37-3.20),2.46,6.34
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
