tipo_celular,module_size,JPT1_MM,JPT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,506.0,0.116,17.0,225,3,1.33,1.23 (0.56-1.90),222,98.67,3.65 (3.41-3.90),11.81,7.85
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,703.0,0.138,23.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.235,66.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45),11.45,7.51
GABA neurons expressing GABA receptors 13,417.0,0.179,62.0,213,8,3.76,0.72 (0.33-1.11),205,96.24,3.91 (3.68-4.14),10.35,9.66
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.477,87.0,455,8,1.76,0.60 (0.39-0.81),447,98.24,4.43 (4.26-4.61),43.02,8.22
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.168,60.0,182,2,1.1,1.57 (1.57-1.57),180,98.9,3.66 (3.41-3.92),3.49,8.58
astrocytes microglia 23,125.0,0.365,79.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
