tipo_celular,module_size,ADCY5_MM,ADCY5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,21,5.95,2.14 (1.56-2.73),332,94.05,4.03 (3.84-4.21),20.28,7.29
GABA neurons expressing GLU receptors 22,1069.0,0.165,51.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1316.0,0.098,26.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,289.0,0.245,75.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.383,87.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,228.0,0.115,18.0,5,1,20.0,1.95 (NA-NA),4,80.0,3.58 (0.93-6.24),1.66,2.66
GABA like neurons 14,2090.0,0.204,81.0,74,3,4.05,2.03 (1.40-2.66),71,95.95,2.99 (2.60-3.38),3.85,10.78
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.122,55.0,25,2,8.0,2.01 (-1.53-5.55),23,92.0,2.96 (1.92-3.99),1.76,2.60
oligodendrocytes 10,1277.0,0.088,36.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,183.0,0.341,73.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86),1.48,2.71
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,88.0,0.169,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.097,28.0,95,11,11.58,4.80 (3.75-5.84),84,88.42,4.85 (4.38-5.32),2.74,3.44
astrocytes microglia 23,161.0,0.397,81.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,1186.0,0.142,46.0,300,3,1.0,2.98 (2.08-3.88),297,99.0,3.80 (3.60-4.01),2.73,4.17
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.119,71.0,87,9,10.34,1.21 (0.79-1.63),78,89.66,2.74 (2.46-3.01),3.79,4.29
oligodendrocytes 2,407.0,0.114,10.0,122,14,11.48,1.72 (1.08-2.35),108,88.52,3.61 (3.20-4.02),2.14,2.77
