tipo_celular,module_size,SUMO3_MM,SUMO3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,848.0,0.102,6.0,262,15,5.73,3.81 (2.67-4.96),247,94.27,4.18 (3.93-4.44),5.42,4.02
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.266,74.0,410,16,3.9,3.80 (2.82-4.78),394,96.1,4.27 (4.08-4.46),8.90,7.46
GABA neurons expressing GABA receptors 13,77.0,0.146,29.0,8,3,37.5,3.31 (2.56-4.07),5,62.5,3.00 (0.91-5.08),1.77,1.76
endothelial cells 9,916.0,0.157,35.0,302,3,0.99,0.21 (NA-NA),299,99.01,4.00 (3.77-4.22),6.25,10.70
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.415,81.0,455,30,6.59,2.61 (1.92-3.31),425,93.41,4.50 (4.31-4.68),17.56,8.22
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.161,71.0,124,7,5.65,3.30 (2.07-4.54),117,94.35,4.25 (3.84-4.66),3.26,3.02
astrocytes microglia 23,67.0,0.45,96.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
