tipo_celular,module_size,ECHDC1_MM,ECHDC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.153,16.0,21,1,4.76,0.26 (NA-NA),20,95.24,2.41 (1.78-3.03),2.76,1.97
T cells 18,610.0,0.139,39.0,98,8,8.16,1.50 (0.59-2.40),90,91.84,3.28 (2.97-3.60),6.67,3.80
astrocytes 5,1656.0,0.139,85.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.152,76.0,353,11,3.12,2.12 (0.73-3.52),342,96.88,3.96 (3.78-4.14),29.09,7.39
GABA neurons expressing GLU receptors 22,487.0,0.195,43.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1316.0,0.075,10.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,89.0,0.156,29.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.048,1.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,938.0,0.142,57.0,169,3,1.78,1.36 (-0.58-3.31),166,98.22,3.53 (3.31-3.74),4.01,5.39
GABA like neurons 14,3052.0,0.169,75.0,125,1,0.8,8.28 (NA-NA),124,99.2,3.30 (2.99-3.61),1.86,8.67
astrocytes 8,262.0,0.114,38.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.117,88.0,276,7,2.54,2.63 (0.64-4.62),269,97.46,3.57 (3.36-3.79),14.81,4.86
oligodendrocytes 10,2107.0,0.139,47.0,358,10,2.79,1.51 (0.74-2.28),348,97.21,3.95 (3.76-4.14),27.83,8.95
connective tissue cells 21,93.0,0.287,53.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,367.0,0.026,2.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,92.0,0.235,65.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.217,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.156,71.0,104,7,6.73,1.47 (0.62-2.33),97,93.27,2.97 (2.69-3.26),11.02,4.99
oligodendrocytes 0,309.0,0.144,61.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,1615.0,0.112,54.0,161,10,6.21,1.51 (0.74-2.28),151,93.79,3.42 (3.15-3.69),11.15,5.05
oligodendrocytes 3,854.0,0.09,50.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804.0,0.122,16.0,84,4,4.76,1.13 (0.16-2.09),80,95.24,2.79 (2.45-3.13),3.50,3.39
