tipo_celular,module_size,DAZAP1_MM,DAZAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.228,63.0,21,9,42.86,1.13 (0.54-1.72),12,57.14,3.26 (2.67-3.85),2.25,1.82
T cells 18,393.0,0.146,47.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,932.0,0.103,42.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.169,93.0,353,53,15.01,2.07 (1.75-2.40),300,84.99,4.32 (4.14-4.49),23.15,5.40
GABA neurons expressing GLU receptors 22,1069.0,0.11,13.0,37,4,10.81,2.23 (1.51-2.95),33,89.19,2.15 (1.63-2.66),2.83,3.13
GLU like neurons 17,1247.0,0.105,28.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.091,19.0,133,42,31.58,2.23 (1.77-2.69),91,68.42,3.84 (3.49-4.19),5.39,3.59
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.098,25.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,676.0,0.031,9.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,2090.0,0.139,39.0,74,8,10.81,1.96 (1.71-2.21),66,89.19,3.08 (2.67-3.50),3.51,11.35
astrocytes 8,1266.0,0.056,21.0,66,16,24.24,1.77 (1.16-2.37),50,75.76,3.80 (3.37-4.22),4.33,2.51
oligodendrocyte progenitor cells 12,708.0,0.054,14.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,483.0,0.137,57.0,129,1,0.78,NA,128,99.22,3.43 (3.04-3.82),1.97,19.32
connective tissue cells 21,111.0,0.309,56.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,268.0,0.036,7.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29),1.44,1.63
oligodendrocytes 16,71.0,0.133,20.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.29,38.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.142,34.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36),1.43,5.81
oligodendrocytes 0,2078.0,0.132,85.0,238,12,5.04,2.83 (1.99-3.66),226,94.96,3.69 (3.46-3.91),7.14,4.91
microglia 1,813.0,0.092,19.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003.0,0.079,31.0,111,5,4.5,4.00 (2.78-5.22),106,95.5,3.27 (2.91-3.62),3.42,4.27
oligodendrocytes 2,407.0,0.106,7.0,122,41,33.61,1.81 (1.53-2.09),81,66.39,4.47 (4.02-4.91),3.35,2.37
