tipo_celular,module_size,EXOSC1_MM,EXOSC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.148,48.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,1656.0,0.122,62.0,136,7,5.15,1.71 (1.28-2.13),129,94.85,3.30 (3.02-3.58),7.82,4.83
oligodendrocyte progenitor cells 7,4285.0,0.11,17.0,353,41,11.61,1.92 (1.52-2.32),312,88.39,4.24 (4.07-4.41),29.67,5.22
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1316.0,0.148,71.0,101,1,0.99,2.83 (NA-NA),100,99.01,3.05 (2.70-3.41),2.12,3.06
da like neurons 11,145.0,0.055,2.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.025,3.0,169,5,2.96,1.96 (0.36-3.56),164,97.04,3.54 (3.32-3.75),3.54,5.42
GABA like neurons 14,2090.0,0.18,68.0,74,5,6.76,1.86 (1.51-2.20),69,93.24,3.03 (2.64-3.43),3.73,10.99
astrocytes 8,1266.0,0.051,16.0,66,15,22.73,1.62 (1.03-2.21),51,77.27,3.80 (3.39-4.21),4.63,2.46
oligodendrocyte progenitor cells 12,708.0,0.082,35.0,32,6,18.75,0.94 (-0.08-1.95),26,81.25,3.87 (3.06-4.69),4.20,2.23
oligodendrocytes 10,2107.0,0.088,21.0,358,41,11.45,1.92 (1.52-2.32),317,88.55,4.22 (4.03-4.40),33.50,6.36
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,367.0,0.026,2.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,155.0,0.288,82.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.245,6.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,1807.0,0.143,46.0,104,30,28.85,1.81 (1.47-2.14),74,71.15,3.34 (3.02-3.66),10.52,3.32
oligodendrocytes 0,2078.0,0.084,6.0,238,6,2.52,2.95 (1.25-4.66),232,97.48,3.66 (3.44-3.88),11.40,4.86
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.063,19.0,87,29,33.33,1.81 (1.47-2.14),58,66.67,3.02 (2.70-3.35),6.17,3.28
oligodendrocytes 2,1630.0,0.143,52.0,154,2,1.3,4.18 (3.75-4.61),152,98.7,3.23 (2.96-3.50),1.79,3.62
