tipo_celular,module_size,MAP3K9_MM,MAP3K9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,203.0,0.326,71.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1247.0,0.051,3.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21),2.39,3.25
da like neurons 11,172.0,0.077,3.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,101.0,0.224,93.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.242,93.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.169,74.0,124,6,4.84,3.60 (2.90-4.30),118,95.16,4.22 (3.81-4.64),2.25,3.07
astrocytes microglia 23,92.0,0.282,29.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91),NA,1.89
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
