tipo_celular,module_size,CDK6_MM,CDK6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.116,5.0,17,1,5.88,NA,16,94.12,1.90 (1.29-2.52),1.33,5.50
T cells 18,388.0,0.315,93.0,84,5,5.95,3.77 (2.55-4.99),79,94.05,2.92 (2.58-3.26),2.19,4.46
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.073,14.0,219,19,8.68,4.22 (3.63-4.82),200,91.32,5.34 (5.03-5.65),7.17,4.37
GABA neurons expressing GLU receptors 22,823.0,0.148,30.0,23,9,39.13,3.34 (2.45-4.23),14,60.87,1.80 (0.90-2.69),2.27,4.16
GLU like neurons 17,637.0,0.106,23.0,91,15,16.48,2.09 (1.15-3.02),76,83.52,5.24 (4.77-5.71),3.03,3.07
da like neurons 11,109.0,0.399,92.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.185,44.0,120,33,27.5,3.75 (3.36-4.13),87,72.5,4.98 (4.59-5.38),3.87,3.57
oligodendrocytes 20,233.0,0.188,49.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052.0,0.121,34.0,125,6,4.8,3.73 (2.98-4.47),119,95.2,3.34 (3.00-3.67),5.70,8.76
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,143.0,0.469,80.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107.0,0.619,100.0,358,65,18.16,2.29 (1.98-2.61),293,81.84,4.35 (4.16-4.54),22.13,6.66
connective tissue cells 21,90.0,0.325,70.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA,1.41,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,69.0,0.11,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.304,83.0,57,9,15.79,3.32 (2.85-3.79),48,84.21,2.51 (2.09-2.92),2.80,3.43
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,187.0,0.263,84.0,14,1,7.14,7.18 (NA-NA),13,92.86,5.39 (4.79-5.98),2.14,2.51
microglia 1,813.0,0.155,81.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,854.0,0.188,98.0,76,9,11.84,3.16 (2.18-4.14),67,88.16,2.72 (2.37-3.07),2.87,4.97
oligodendrocytes 2,348.0,0.159,31.0,114,23,20.18,4.22 (3.76-4.68),91,79.82,5.41 (4.90-5.91),6.08,3.97
