tipo_celular,module_size,ZSWIM5_MM,ZSWIM5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,388.0,0.162,56.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,932.0,0.114,58.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,436.0,0.043,3.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50),NA,4.61
GABA neurons expressing GLU receptors 22,1069.0,0.149,39.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,380.0,0.119,15.0,39,4,10.26,2.99 (1.87-4.10),35,89.74,2.96 (2.35-3.57),1.81,2.66
da like neurons 11,200.0,0.294,80.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.203,90.0,297,2,0.67,4.54 (4.34-4.75),295,99.33,3.67 (3.46-3.87),7.69,5.50
oligodendrocytes 20,403.0,0.041,11.0,18,1,5.56,0.79 (NA-NA),17,94.44,1.94 (1.23-2.65),2.41,3.87
GABA like neurons 14,1300.0,0.295,87.0,306,0,0.0,NA,306,100.0,5.09 (4.83-5.36),NA,6.71
astrocytes 8,1266.0,0.11,72.0,66,0,0.0,NA,66,100.0,3.23 (2.81-3.65),NA,2.95
oligodendrocyte progenitor cells 12,143.0,0.41,38.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,1277.0,0.179,85.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,84.0,0.292,72.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60),NA,1.83
astrocytes 15,1768.0,0.109,70.0,105,5,4.76,3.13 (1.76-4.50),100,95.24,3.22 (2.87-3.56),5.62,3.90
oligodendrocytes 16,199.0,0.171,54.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,141.0,0.209,23.0,30,0,0.0,NA,30,100.0,5.66 (4.78-6.55),NA,4.05
astrocytes 4,201.0,0.126,14.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42),NA,3.09
oligodendrocytes 0,1186.0,0.114,12.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.129,83.0,76,1,1.32,4.65 (NA-NA),75,98.68,2.75 (2.42-3.08),2.16,4.75
oligodendrocytes 2,804.0,0.145,44.0,84,3,3.57,2.62 (0.55-4.68),81,96.43,2.69 (2.35-3.03),2.35,3.43
