tipo_celular,module_size,COX6B1_MM,COX6B1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.157,63.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.313,83.0,410,41,10.0,3.57 (3.04-4.11),369,90.0,4.34 (4.14-4.54),16.60,6.51
GABA neurons expressing GABA receptors 13,417.0,0.25,89.0,213,42,19.72,2.74 (2.23-3.24),171,80.28,4.07 (3.81-4.33),18.64,7.48
endothelial cells 9,916.0,0.477,90.0,302,30,9.93,3.37 (2.83-3.91),272,90.07,4.06 (3.82-4.31),22.08,9.39
oligodendrocytes 20,938.0,0.262,91.0,169,24,14.2,3.38 (2.78-3.97),145,85.8,3.50 (3.26-3.74),4.90,5.44
GABA like neurons 14,2402.0,0.664,98.0,455,41,9.01,3.03 (2.41-3.65),414,90.99,4.50 (4.31-4.69),22.83,7.45
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.281,91.0,235,23,9.79,3.77 (3.26-4.28),212,90.21,3.83 (3.58-4.08),9.01,7.46
oligodendrocytes 10,735.0,0.193,87.0,277,1,0.36,4.47 (NA-NA),276,99.64,3.89 (3.65-4.13),2.19,8.97
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,105.0,0.326,95.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,729.0,0.335,98.0,182,10,5.49,3.79 (2.97-4.61),172,94.51,3.63 (3.36-3.89),7.27,8.59
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.172,52.0,252,37,14.68,2.94 (2.30-3.58),215,85.32,4.33 (4.08-4.59),10.28,7.85
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.169,63.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.316,66.0,213,28,13.15,4.00 (3.45-4.56),185,86.85,3.97 (3.67-4.28),10.46,7.56
