tipo_celular,module_size,SHLD1_MM,SHLD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.13,30.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,610.0,0.139,39.0,98,19,19.39,1.69 (1.23-2.16),79,80.61,3.51 (3.18-3.84),4.96,3.82
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,48,13.6,2.58 (2.14-3.03),305,86.4,4.17 (3.98-4.36),14.22,7.10
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.161,33.0,120,10,8.33,2.97 (2.42-3.52),110,91.67,4.78 (4.45-5.11),3.62,3.65
oligodendrocytes 20,676.0,0.064,30.0,110,11,10.0,2.24 (1.54-2.93),99,90.0,5.44 (5.03-5.86),3.21,3.56
GABA like neurons 14,1300.0,0.033,1.0,306,15,4.9,2.14 (1.56-2.72),291,95.1,5.32 (5.07-5.58),7.89,6.65
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.057,23.0,276,31,11.23,1.98 (1.69-2.27),245,88.77,3.81 (3.58-4.04),6.40,4.95
oligodendrocytes 10,2107.0,0.127,42.0,358,60,16.76,2.51 (2.14-2.88),298,83.24,4.26 (4.06-4.45),15.75,8.21
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,121.0,0.229,60.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,53.0,0.319,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.114,50.0,238,14,5.88,3.11 (2.26-3.97),224,94.12,3.68 (3.45-3.90),5.14,5.02
microglia 1,813.0,0.093,20.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003.0,0.069,20.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,1630.0,0.098,2.0,154,4,2.6,3.23 (2.85-3.60),150,97.4,3.25 (2.97-3.52),2.21,3.63
