tipo_celular,module_size,TRMT10B_MM,TRMT10B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.222,55.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,624.0,0.105,16.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.141,88.0,136,10,7.35,2.68 (1.66-3.70),126,92.65,3.26 (2.98-3.54),6.46,4.87
oligodendrocyte progenitor cells 7,628.0,0.139,31.0,164,10,6.1,3.32 (2.39-4.25),154,93.9,4.15 (3.81-4.50),3.69,7.78
GABA neurons expressing GLU receptors 22,599.0,0.161,26.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,94.0,0.088,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.042,1.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,348.0,0.046,19.0,33,3,9.09,3.61 (2.08-5.14),30,90.91,2.64 (2.13-3.14),3.19,3.40
GABA like neurons 14,2402.0,0.154,26.0,455,53,11.65,2.70 (2.28-3.12),402,88.35,4.66 (4.47-4.84),18.69,7.54
astrocytes 8,603.0,0.039,10.0,89,11,12.36,1.57 (1.18-1.96),78,87.64,3.00 (2.62-3.39),4.49,6.26
oligodendrocyte progenitor cells 12,1049.0,0.044,12.0,235,7,2.98,2.94 (1.85-4.03),228,97.02,3.86 (3.62-4.09),7.40,7.62
oligodendrocytes 10,2107.0,0.106,32.0,358,55,15.36,2.27 (1.91-2.63),303,84.64,4.25 (4.06-4.44),26.06,6.46
connective tissue cells 21,92.0,0.223,17.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,1768.0,0.058,21.0,105,31,29.52,2.05 (1.68-2.42),74,70.48,3.76 (3.36-4.16),6.03,3.12
oligodendrocytes 16,116.0,0.213,56.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.465,99.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,1807.0,0.175,95.0,104,33,31.73,2.08 (1.68-2.47),71,68.27,3.27 (2.94-3.61),9.72,3.39
oligodendrocytes 0,613.0,0.112,17.0,127,14,11.02,2.77 (2.23-3.31),113,88.98,3.11 (2.62-3.60),3.76,6.59
microglia 1,1615.0,0.085,16.0,161,37,22.98,1.66 (1.36-1.97),124,77.02,3.90 (3.64-4.16),11.86,3.51
oligodendrocytes 3,743.0,0.078,43.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.141,49.0,154,5,3.25,3.03 (0.94-5.13),149,96.75,3.25 (2.98-3.52),2.59,3.63
