tipo_celular,module_size,DNAJC3_MM,DNAJC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.343,97.0,97,8,8.25,5.49 (4.13-6.84),89,91.75,2.82 (2.45-3.19),4.30,4.96
T cells 18,393.0,0.199,72.0,59,5,8.47,3.70 (3.21-4.19),54,91.53,3.04 (2.50-3.59),2.82,5.58
astrocytes 5,1141.0,0.136,58.0,166,25,15.06,2.16 (1.77-2.55),141,84.94,3.67 (3.39-3.94),5.37,4.40
oligodendrocyte progenitor cells 7,4285.0,0.177,97.0,353,40,11.33,2.19 (1.73-2.64),313,88.67,4.17 (3.99-4.36),22.31,6.24
GABA neurons expressing GLU receptors 22,599.0,0.177,31.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,685.0,0.195,76.0,135,50,37.04,2.90 (2.46-3.35),85,62.96,3.36 (2.96-3.77),3.67,3.79
da like neurons 11,197.0,0.072,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.092,20.0,155,4,2.58,7.00 (NA-NA),151,97.42,4.31 (3.95-4.68),3.44,4.35
oligodendrocytes 20,298.0,0.175,63.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,3052.0,0.11,25.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,218.0,0.181,76.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,1049.0,0.083,44.0,235,27,11.49,4.46 (3.70-5.22),208,88.51,3.75 (3.51-3.99),7.58,7.62
oligodendrocytes 10,2107.0,0.117,37.0,358,46,12.85,2.03 (1.67-2.39),312,87.15,4.24 (4.05-4.42),23.90,7.35
connective tissue cells 21,114.0,0.294,59.0,11,1,9.09,0.40 (NA-NA),10,90.91,1.74 (0.59-2.89),3.65,1.99
astrocytes 15,1768.0,0.076,40.0,105,22,20.95,2.33 (1.57-3.09),83,79.05,3.46 (3.10-3.81),5.83,3.49
oligodendrocytes 16,112.0,0.201,71.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,518.0,0.075,12.0,122,20,16.39,2.50 (1.37-3.63),102,83.61,4.27 (3.89-4.66),3.66,3.45
astrocytes microglia 23,39.0,0.258,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,255.0,0.163,44.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,613.0,0.126,33.0,127,17,13.39,3.66 (2.47-4.85),110,86.61,2.91 (2.48-3.34),2.71,6.83
microglia 1,813.0,0.321,100.0,79,6,7.59,3.50 (2.48-4.52),73,92.41,3.06 (2.64-3.49),3.34,8.28
oligodendrocytes 3,743.0,0.092,64.0,76,5,6.58,5.59 (4.10-7.08),71,93.42,2.97 (2.59-3.34),3.61,7.55
oligodendrocytes 2,921.0,0.131,39.0,200,5,2.5,2.68 (1.41-3.96),195,97.5,3.65 (3.38-3.92),4.50,3.44
