tipo_celular,module_size,ZFP90_MM,ZFP90_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.135,28.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,610.0,0.128,31.0,98,19,19.39,1.98 (1.59-2.37),79,80.61,3.43 (3.08-3.79),2.68,4.36
astrocytes 5,1656.0,0.086,10.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.148,70.0,353,41,11.61,2.24 (1.95-2.53),312,88.39,4.18 (3.99-4.37),11.36,7.63
GABA neurons expressing GLU receptors 22,1069.0,0.111,14.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,1247.0,0.121,40.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,215.0,0.269,73.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.176,69.0,18,2,11.11,0.88 (0.76-1.00),16,88.89,2.00 (1.26-2.74),3.27,3.86
GABA like neurons 14,3052.0,0.138,49.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,603.0,0.035,6.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34),5.55,6.09
oligodendrocyte progenitor cells 12,3303.0,0.082,54.0,276,36,13.04,1.98 (1.73-2.23),240,86.96,3.86 (3.63-4.09),5.98,4.98
oligodendrocytes 10,806.0,0.042,6.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,125.0,0.227,20.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,443.0,0.051,5.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55),NA,2.22
oligodendrocytes 16,81.0,0.182,35.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.234,14.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59),NA,2.93
astrocytes 4,1807.0,0.175,95.0,104,16,15.38,1.36 (1.08-1.64),88,84.62,3.16 (2.87-3.45),6.81,5.14
oligodendrocytes 0,2078.0,0.101,24.0,238,15,6.3,2.51 (2.08-2.95),223,93.7,3.73 (3.50-3.96),5.69,4.98
microglia 1,1615.0,0.101,36.0,161,41,25.47,2.23 (1.94-2.52),120,74.53,3.74 (3.42-4.07),5.05,5.56
oligodendrocytes 3,639.0,0.062,19.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68),NA,2.22
oligodendrocytes 2,1630.0,0.11,7.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
