tipo_celular,module_size,FGF14_MM,FGF14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.21,78.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,436.0,0.054,6.0,219,9,4.11,3.25 (2.55-3.94),210,95.89,5.28 (4.99-5.57),6.42,4.53
GABA neurons expressing GLU receptors 22,459.0,0.411,98.0,165,9,5.45,2.03 (1.45-2.61),156,94.55,5.32 (5.00-5.65),4.75,4.05
GLU like neurons 17,795.0,0.399,98.0,80,2,2.5,4.36 (4.34-4.38),78,97.5,5.73 (5.31-6.15),2.76,3.02
da like neurons 11,204.0,0.18,48.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,200.0,0.166,59.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.283,83.0,306,19,6.21,2.56 (1.95-3.16),287,93.79,5.34 (5.08-5.59),8.58,6.58
astrocytes 8,218.0,0.212,84.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,411.0,0.436,94.0,103,4,3.88,3.39 (1.51-5.27),99,96.12,5.60 (5.22-5.99),2.80,3.10
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,95.0,0.333,75.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59),NA,1.71
astrocytes 15,1401.0,0.053,18.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,63.0,0.384,81.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.183,90.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
