tipo_celular,module_size,GNAL_MM,GNAL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.082,11.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,666.0,0.197,70.0,127,12,9.45,1.90 (1.28-2.52),115,90.55,4.03 (3.69-4.37),4.19,6.01
GABA neurons expressing GLU receptors 22,703.0,0.303,96.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,489.0,0.126,41.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,209.0,0.318,81.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,238.0,0.175,57.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.266,76.0,306,16,5.23,2.46 (1.61-3.32),290,94.77,5.31 (5.06-5.57),5.01,6.80
astrocytes 8,140.0,0.127,48.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,3303.0,0.067,35.0,276,7,2.54,1.35 (0.81-1.88),269,97.46,3.62 (3.40-3.83),11.68,4.94
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,104.0,0.327,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.084,11.0,14,2,14.29,1.12 (-0.05-2.29),12,85.71,2.39 (0.89-3.89),2.20,2.49
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.196,95.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,132.0,0.373,72.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,514.0,0.165,39.0,95,6,6.32,2.64 (0.76-4.53),89,93.68,3.43 (3.01-3.86),2.75,4.77
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
