tipo_celular,module_size,DLGAP1_MM,DLGAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.213,80.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,436.0,0.163,69.0,219,9,4.11,5.44 (4.72-6.15),210,95.89,5.20 (4.90-5.50),12.38,4.28
GABA neurons expressing GLU receptors 22,459.0,0.559,100.0,165,7,4.24,1.93 (1.24-2.61),158,95.76,5.24 (4.91-5.57),5.71,4.02
GLU like neurons 17,795.0,0.304,94.0,80,3,3.75,3.14 (1.95-4.33),77,96.25,5.82 (5.43-6.22),3.12,3.01
da like neurons 11,209.0,0.441,94.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.108,21.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.213,53.0,306,20,6.54,3.50 (2.59-4.42),286,93.46,5.25 (4.99-5.52),12.61,6.29
astrocytes 8,140.0,0.303,93.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,411.0,0.327,77.0,103,6,5.83,5.35 (4.41-6.29),97,94.17,5.56 (5.15-5.97),6.77,2.86
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.122,28.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38),NA,2.45
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,89.0,0.357,78.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,201.0,0.174,53.0,18,2,11.11,2.53 (2.34-2.73),16,88.89,4.82 (3.91-5.74),1.69,3.27
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
