tipo_celular,module_size,BBS4_MM,BBS4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.163,99.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.14,57.0,353,48,13.6,2.50 (2.07-2.94),305,86.4,4.15 (3.96-4.34),16.68,6.71
GABA neurons expressing GLU receptors 22,567.0,0.108,11.0,16,6,37.5,2.88 (1.99-3.78),10,62.5,1.47 (0.71-2.22),1.68,4.81
GLU like neurons 17,1316.0,0.113,41.0,101,3,2.97,3.28 (2.52-4.03),98,97.03,3.04 (2.68-3.41),1.82,3.09
da like neurons 11,204.0,0.103,20.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.049,12.0,169,11,6.51,2.45 (1.70-3.20),158,93.49,3.57 (3.35-3.79),2.98,5.53
GABA like neurons 14,3052.0,0.209,94.0,125,6,4.8,4.34 (3.93-4.76),119,95.2,3.31 (2.98-3.64),3.40,8.88
astrocytes 8,520.0,0.06,18.0,288,33,11.46,3.49 (2.95-4.04),255,88.54,4.27 (4.06-4.49),6.27,4.48
oligodendrocyte progenitor cells 12,3303.0,0.053,19.0,276,34,12.32,2.74 (2.20-3.29),242,87.68,3.67 (3.44-3.91),8.41,4.65
oligodendrocytes 10,806.0,0.054,9.0,261,29,11.11,4.35 (3.70-5.01),232,88.89,4.37 (4.11-4.63),6.22,6.05
connective tissue cells 21,92.0,0.273,46.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,1768.0,0.098,60.0,105,17,16.19,2.20 (1.59-2.80),88,83.81,3.43 (3.06-3.80),5.08,3.77
oligodendrocytes 16,88.0,0.096,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.107,24.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,111.0,0.277,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.15,60.0,104,11,10.58,2.12 (1.22-3.01),93,89.42,2.96 (2.67-3.25),9.27,4.94
oligodendrocytes 0,2078.0,0.114,50.0,238,6,2.52,2.24 (1.03-3.46),232,97.48,3.67 (3.45-3.89),7.44,4.96
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.047,4.0,76,6,7.89,2.13 (-1.64-5.89),70,92.11,2.80 (2.47-3.13),2.75,4.89
oligodendrocytes 2,1630.0,0.143,53.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
