tipo_celular,module_size,ADAM17_MM,ADAM17_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.192,54.0,102,42,41.18,2.77 (2.37-3.17),60,58.82,4.06 (3.54-4.57),3.80,2.50
T cells 18,610.0,0.141,41.0,98,24,24.49,1.70 (1.28-2.12),74,75.51,3.65 (3.33-3.97),6.72,3.17
astrocytes 5,1656.0,0.092,17.0,136,7,5.15,2.39 (1.58-3.19),129,94.85,3.26 (2.98-3.54),5.37,4.97
oligodendrocyte progenitor cells 7,4285.0,0.161,86.0,353,46,13.03,2.00 (1.70-2.30),307,86.97,4.27 (4.10-4.45),20.61,6.18
GABA neurons expressing GLU receptors 22,714.0,0.121,15.0,17,3,17.65,2.29 (2.29-2.29),14,82.35,2.31 (1.60-3.03),2.53,3.79
GLU like neurons 17,1316.0,0.091,19.0,101,3,2.97,2.82 (2.53-3.11),98,97.03,3.06 (2.70-3.42),2.87,3.06
da like neurons 11,61.0,0.386,72.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA),NA,2.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.154,69.0,297,15,5.05,3.67 (3.35-4.00),282,94.95,3.67 (3.46-3.89),4.90,5.55
oligodendrocytes 20,330.0,0.206,60.0,36,11,30.56,1.95 (1.68-2.22),25,69.44,1.91 (1.41-2.41),2.93,3.21
GABA like neurons 14,3052.0,0.161,69.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,577.0,0.051,18.0,83,10,12.05,3.28 (2.33-4.23),73,87.95,3.25 (2.74-3.75),2.59,4.73
oligodendrocyte progenitor cells 12,3303.0,0.056,21.0,276,36,13.04,2.19 (1.89-2.48),240,86.96,3.82 (3.59-4.06),9.08,4.52
oligodendrocytes 10,2107.0,0.195,67.0,358,56,15.64,2.09 (1.81-2.37),302,84.36,4.33 (4.15-4.52),20.39,7.45
connective tissue cells 21,78.0,0.395,93.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.143,89.0,105,24,22.86,1.97 (1.60-2.33),81,77.14,3.62 (3.24-4.01),6.00,3.38
oligodendrocytes 16,123.0,0.174,24.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,99.0,0.217,11.0,3,1,33.33,1.74 (NA-NA),2,66.67,1.91 (0.04-3.78),2.73,5.38
astrocytes 4,787.0,0.177,91.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.123,69.0,238,10,4.2,2.67 (2.08-3.27),228,95.8,3.69 (3.46-3.91),5.97,4.98
microglia 1,958.0,0.14,84.0,290,22,7.59,2.51 (2.00-3.02),268,92.41,3.95 (3.71-4.18),4.84,5.01
oligodendrocytes 3,854.0,0.062,18.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,921.0,0.144,63.0,200,5,2.5,2.15 (1.43-2.88),195,97.5,3.67 (3.40-3.94),4.12,3.45
