tipo_celular,module_size,ARHGAP22_MM,ARHGAP22_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.355,78.0,140,11,7.86,3.39 (2.35-4.43),129,92.14,4.66 (4.37-4.95),5.51,3.38
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,165.0,0.119,19.0,51,1,1.96,6.49 (NA-NA),50,98.04,5.32 (4.64-6.00),2.89,2.95
oligodendrocyte progenitor cells 7,436.0,0.125,47.0,219,8,3.65,7.12 (6.27-7.96),211,96.35,5.12 (4.83-5.41),8.30,4.47
GABA neurons expressing GLU receptors 22,714.0,0.14,25.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,637.0,0.107,24.0,91,12,13.19,2.70 (1.68-3.72),79,86.81,4.94 (4.39-5.48),3.69,2.96
da like neurons 11,172.0,0.361,87.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,253.0,0.229,77.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2090.0,0.186,72.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,771.0,0.291,80.0,48,2,4.17,3.49 (-1.81-8.80),46,95.83,4.48 (3.72-5.24),1.67,3.21
oligodendrocyte progenitor cells 12,153.0,0.39,43.0,27,5,18.52,3.82 (2.26-5.37),22,81.48,5.35 (4.16-6.54),3.02,1.95
oligodendrocytes 10,2107.0,0.299,90.0,358,16,4.47,2.32 (1.40-3.24),342,95.53,3.96 (3.77-4.15),13.79,9.27
connective tissue cells 21,250.0,0.247,30.0,117,13,11.11,4.95 (3.74-6.17),104,88.89,5.45 (5.03-5.86),3.30,3.79
astrocytes 15,458.0,0.113,60.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,123.0,0.131,5.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.463,93.0,99,6,6.06,5.67 (4.76-6.59),93,93.94,4.20 (3.85-4.54),4.22,3.17
astrocytes 4,161.0,0.092,5.0,45,1,2.22,6.49 (NA-NA),44,97.78,5.24 (4.60-5.88),1.79,3.14
oligodendrocytes 0,117.0,0.194,75.0,4,1,25.0,6.20 (NA-NA),3,75.0,5.84 (4.52-7.16),1.51,2.33
microglia 1,315.0,0.399,99.0,144,7,4.86,5.64 (3.81-7.46),137,95.14,4.39 (4.09-4.70),3.99,4.22
oligodendrocytes 3,242.0,0.255,90.0,6,4,66.67,6.20 (4.76-7.64),2,33.33,5.55 (5.23-5.87),2.02,2.09
oligodendrocytes 2,131.0,0.31,90.0,20,3,15.0,3.68 (1.21-6.15),17,85.0,4.70 (3.97-5.44),1.84,4.17
