tipo_celular,module_size,INTS2_MM,INTS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.1,14.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36),4.47,4.76
astrocytes 5,1656.0,0.076,4.0,136,12,8.82,3.78 (2.67-4.89),124,91.18,3.15 (2.87-3.42),5.48,4.94
oligodendrocyte progenitor cells 7,4285.0,0.097,8.0,353,45,12.75,1.94 (1.60-2.27),308,87.25,4.28 (4.10-4.45),25.62,5.50
GABA neurons expressing GLU receptors 22,714.0,0.147,29.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94),2.48,4.02
GLU like neurons 17,229.0,0.195,48.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,204.0,0.073,8.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.024,3.0,18,10,55.56,0.95 (0.48-1.41),8,44.44,3.04 (2.13-3.95),4.74,2.61
GABA like neurons 14,2090.0,0.194,76.0,74,12,16.22,2.16 (1.92-2.39),62,83.78,3.12 (2.68-3.57),3.32,11.89
astrocytes 8,771.0,0.034,3.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,39,14.13,2.14 (1.80-2.48),237,85.87,3.86 (3.63-4.09),10.40,4.24
oligodendrocytes 10,1277.0,0.046,9.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.043,9.0,105,16,15.24,1.45 (1.09-1.81),89,84.76,3.56 (3.21-3.91),8.05,3.25
oligodendrocytes 16,81.0,0.225,78.0,3,0,0.0,NA,3,100.0,NA,NA,2.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,72.0,0.417,92.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.153,67.0,104,28,26.92,2.05 (1.58-2.52),76,73.08,3.20 (2.88-3.51),10.24,3.61
oligodendrocytes 0,2078.0,0.124,71.0,238,16,6.72,3.14 (2.43-3.86),222,93.28,3.68 (3.45-3.91),7.16,4.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.107,59.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,1630.0,0.148,63.0,154,6,3.9,4.77 (4.38-5.16),148,96.1,3.17 (2.90-3.44),3.69,3.59
