tipo_celular,module_size,CHTOP_MM,CHTOP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.315,92.0,21,11,52.38,1.44 (0.81-2.07),10,47.62,3.35 (2.64-4.06),2.20,1.79
T cells 18,477.0,0.107,14.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656.0,0.111,43.0,136,5,3.68,1.40 (1.29-1.50),131,96.32,3.29 (3.01-3.56),7.69,4.89
oligodendrocyte progenitor cells 7,4285.0,0.13,43.0,353,51,14.45,2.84 (2.27-3.41),302,85.55,4.11 (3.93-4.29),22.35,5.65
GABA neurons expressing GLU receptors 22,400.0,0.245,75.0,24,9,37.5,1.21 (0.45-1.98),15,62.5,2.72 (2.22-3.22),4.01,3.32
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,142.0,0.076,9.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.037,0.0,275,34,12.36,2.29 (1.66-2.93),241,87.64,4.28 (4.02-4.53),14.11,4.72
oligodendrocytes 20,322.0,0.213,81.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402.0,0.126,17.0,455,27,5.93,1.91 (1.37-2.45),428,94.07,4.55 (4.37-4.73),20.17,8.12
astrocytes 8,603.0,0.045,16.0,89,8,8.99,1.26 (1.06-1.45),81,91.01,2.94 (2.57-3.31),4.90,6.16
oligodendrocyte progenitor cells 12,3303.0,0.044,10.0,276,30,10.87,2.18 (1.77-2.58),246,89.13,3.75 (3.52-3.98),13.53,4.08
oligodendrocytes 10,1277.0,0.044,8.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,114.0,0.419,98.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10),2.82,1.99
astrocytes 15,377.0,0.046,6.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,104.0,0.323,100.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,121.0,0.287,37.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,1807.0,0.149,59.0,104,23,22.12,1.72 (1.29-2.14),81,77.88,3.18 (2.88-3.49),11.62,3.63
oligodendrocytes 0,2078.0,0.141,94.0,238,18,7.56,4.45 (3.55-5.36),220,92.44,3.56 (3.33-3.78),4.76,5.04
microglia 1,958.0,0.086,13.0,290,22,7.59,4.33 (3.51-5.14),268,92.41,3.76 (3.52-4.00),7.23,4.82
oligodendrocytes 3,743.0,0.063,21.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55),1.86,7.36
oligodendrocytes 2,1630.0,0.152,72.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
