tipo_celular,module_size,DHDDS_MM,DHDDS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,823.0,0.145,28.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24),1.82,3.66
GLU like neurons 17,1316.0,0.111,39.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42),3.30,3.05
da like neurons 11,200.0,0.075,2.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.198,91.0,125,3,2.4,3.96 (2.24-5.68),122,97.6,3.33 (3.00-3.66),6.31,8.67
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.06,4.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,125.0,0.396,84.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
