tipo_celular,module_size,BACE2_MM,BACE2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.139,33.0,58,2,3.45,1.75 (0.03-3.48),56,96.55,4.28 (3.86-4.69),1.39,2.35
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,637.0,0.239,73.0,91,13,14.29,1.67 (0.50-2.84),78,85.71,5.23 (4.81-5.64),3.60,2.97
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.323,82.0,120,5,4.17,2.89 (2.56-3.22),115,95.83,4.69 (4.37-5.02),3.45,3.66
oligodendrocytes 20,938.0,0.19,77.0,169,17,10.06,2.70 (2.08-3.33),152,89.94,3.59 (3.36-3.82),5.30,5.37
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,771.0,0.069,25.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.148,72.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,84.0,0.324,80.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60),NA,1.83
astrocytes 15,1401.0,0.184,95.0,96,3,3.12,2.58 (1.49-3.68),93,96.88,3.65 (3.19-4.12),3.17,3.82
oligodendrocytes 16,199.0,0.193,71.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,67.0,0.299,41.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.107,4.0,104,17,16.35,1.83 (1.29-2.36),87,83.65,3.08 (2.78-3.39),9.47,4.60
oligodendrocytes 0,309.0,0.138,55.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.249,89.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.29,83.0,15,1,6.67,5.21 (NA-NA),14,93.33,4.80 (3.88-5.72),1.49,2.43
