tipo_celular,module_size,BRINP1_MM,BRINP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.135,36.0,28,0,0.0,NA,28,100.0,5.31 (4.72-5.89),NA,2.41
oligodendrocyte progenitor cells 7,666.0,0.076,4.0,127,4,3.15,1.16 (0.64-1.68),123,96.85,3.96 (3.63-4.29),5.33,5.85
GABA neurons expressing GLU receptors 22,823.0,0.197,61.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1316.0,0.099,27.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41),2.00,3.06
da like neurons 11,145.0,0.316,74.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,90.0,0.234,92.0,4,1,25.0,7.70 (NA-NA),3,75.0,4.56 (1.37-7.75),1.71,1.89
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.144,21.0,306,15,4.9,3.44 (1.81-5.06),291,95.1,5.19 (4.94-5.45),13.41,6.36
astrocytes 8,1266.0,0.154,88.0,66,4,6.06,1.23 (0.18-2.28),62,93.94,3.38 (2.96-3.79),3.21,2.94
oligodendrocyte progenitor cells 12,218.0,0.309,59.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.162,58.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.109,61.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,70.0,0.258,32.0,76,2,2.63,7.70 (7.70-7.70),74,97.37,4.02 (3.54-4.50),3.52,4.56
astrocytes 4,161.0,0.133,19.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
