tipo_celular,module_size,ABCC1_MM,ABCC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.151,14.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,477.0,0.43,100.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,322.0,0.169,49.0,58,8,13.79,3.01 (1.92-4.10),50,86.21,4.40 (3.97-4.83),2.07,2.36
oligodendrocyte progenitor cells 7,666.0,0.11,11.0,127,14,11.02,2.30 (1.56-3.03),113,88.98,4.03 (3.69-4.38),3.56,6.12
GABA neurons expressing GLU receptors 22,703.0,0.069,2.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,300.0,0.242,86.0,16,1,6.25,4.07 (NA-NA),15,93.75,1.93 (1.07-2.79),1.50,2.53
da like neurons 11,215.0,0.476,100.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.047,11.0,169,11,6.51,3.02 (1.88-4.16),158,93.49,3.51 (3.28-3.73),9.95,5.04
GABA like neurons 14,2090.0,0.311,99.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.113,74.0,66,6,9.09,1.10 (0.45-1.74),60,90.91,3.48 (3.07-3.89),3.86,2.86
oligodendrocyte progenitor cells 12,708.0,0.182,72.0,32,5,15.62,1.57 (0.48-2.67),27,84.38,3.61 (2.71-4.50),3.07,2.51
oligodendrocytes 10,2107.0,0.368,96.0,358,15,4.19,2.17 (1.30-3.03),343,95.81,3.96 (3.77-4.15),14.44,9.26
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.097,61.0,96,2,2.08,1.89 (1.68-2.10),94,97.92,3.66 (3.20-4.11),1.73,3.84
oligodendrocytes 16,91.0,0.258,86.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,41.0,0.333,48.0,3,0,0.0,NA,3,100.0,NA,NA,1.65
astrocytes 4,721.0,0.126,10.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,309.0,0.127,41.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,346.0,0.07,3.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,242.0,0.201,77.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.26,74.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
