tipo_celular,module_size,AMN1_MM,AMN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.143,39.0,19,1,5.26,4.44 (NA-NA),18,94.74,2.41 (1.69-3.14),1.66,3.42
T cells 18,349.0,0.143,36.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93),NA,3.31
astrocytes 5,1656.0,0.093,17.0,136,3,2.21,3.37 (1.84-4.90),133,97.79,3.20 (2.93-3.48),3.06,5.03
oligodendrocyte progenitor cells 7,4285.0,0.14,57.0,353,21,5.95,2.86 (2.26-3.46),332,94.05,3.97 (3.78-4.17),19.81,7.32
GABA neurons expressing GLU receptors 22,823.0,0.165,41.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,1316.0,0.137,61.0,101,2,1.98,4.35 (3.76-4.94),99,98.02,3.02 (2.66-3.37),3.49,3.05
da like neurons 11,265.0,0.188,51.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.047,10.0,36,5,13.89,2.48 (1.48-3.48),31,86.11,1.82 (1.46-2.19),4.59,2.89
GABA like neurons 14,2090.0,0.095,11.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,771.0,0.084,33.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,3303.0,0.146,98.0,276,20,7.25,2.99 (2.42-3.56),256,92.75,3.60 (3.37-3.83),11.25,4.63
oligodendrocytes 10,1277.0,0.106,49.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.065,29.0,105,20,19.05,2.92 (2.30-3.54),85,80.95,3.29 (2.90-3.68),6.67,3.35
oligodendrocytes 16,64.0,0.178,45.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,62.0,0.376,82.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.128,22.0,104,13,12.5,2.13 (1.42-2.84),91,87.5,2.98 (2.68-3.28),9.70,4.78
oligodendrocytes 0,2078.0,0.11,42.0,238,5,2.1,3.27 (1.69-4.85),233,97.9,3.65 (3.42-3.87),8.91,4.94
microglia 1,1615.0,0.104,41.0,161,16,9.94,2.69 (1.94-3.44),145,90.06,3.35 (3.07-3.64),6.61,5.30
oligodendrocytes 3,854.0,0.097,59.0,76,2,2.63,2.43 (-1.93-6.79),74,97.37,2.79 (2.46-3.12),2.56,4.78
oligodendrocytes 2,921.0,0.142,60.0,200,4,2.0,3.32 (2.24-4.41),196,98.0,3.63 (3.36-3.90),6.69,3.40
