tipo_celular,module_size,ADAM23_MM,ADAM23_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.153,43.0,58,5,8.62,3.06 (2.66-3.46),53,91.38,4.30 (3.84-4.76),1.57,2.39
oligodendrocyte progenitor cells 7,4285.0,0.091,5.0,353,10,2.83,1.67 (0.96-2.38),343,97.17,3.97 (3.79-4.16),21.70,7.67
GABA neurons expressing GLU receptors 22,823.0,0.185,54.0,23,2,8.7,2.11 (-0.05-4.28),21,91.3,2.43 (1.64-3.22),2.27,3.53
GLU like neurons 17,795.0,0.208,79.0,80,3,3.75,3.14 (1.94-4.35),77,96.25,5.82 (5.42-6.22),3.75,2.99
da like neurons 11,132.0,0.307,64.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,357.0,0.215,72.0,237,2,0.84,4.19 (2.28-6.10),235,99.16,4.41 (4.18-4.64),4.99,4.18
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,233.0,0.02,1.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052.0,0.051,2.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,520.0,0.081,31.0,288,4,1.39,1.76 (0.64-2.87),284,98.61,4.22 (4.02-4.41),3.64,4.70
oligodendrocyte progenitor cells 12,218.0,0.338,70.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,806.0,0.271,75.0,261,2,0.77,3.07 (-0.42-6.55),259,99.23,4.38 (4.14-4.62),6.83,6.06
connective tissue cells 21,139.0,0.284,34.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,1401.0,0.027,2.0,96,1,1.04,5.16 (NA-NA),95,98.96,3.59 (3.14-4.05),2.12,3.81
oligodendrocytes 16,104.0,0.19,29.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,518.0,0.134,72.0,122,9,7.38,2.74 (1.68-3.80),113,92.62,4.12 (3.71-4.53),4.11,3.43
astrocytes microglia 23,126.0,0.277,24.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,752.0,0.111,5.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,309.0,0.091,9.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.073,23.0,345,3,0.87,2.67 (1.31-4.03),342,99.13,4.29 (4.08-4.50),4.42,5.70
oligodendrocytes 2,1630.0,0.117,11.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
