tipo_celular,module_size,HGS_MM,HGS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.154,50.0,131,3,2.29,2.87 (1.64-4.10),128,97.71,3.08 (2.80-3.36),2.61,4.80
astrocytes 5,1656.0,0.098,23.0,136,11,8.09,2.77 (1.92-3.61),125,91.91,3.24 (2.96-3.53),4.57,5.03
oligodendrocyte progenitor cells 7,4285.0,0.086,4.0,353,80,22.66,2.95 (2.59-3.30),273,77.34,4.26 (4.06-4.46),15.91,5.77
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.123,26.0,410,57,13.9,3.77 (3.42-4.12),353,86.1,4.35 (4.13-4.56),11.33,6.90
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,275.0,0.23,63.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402.0,0.198,41.0,455,75,16.48,3.28 (2.91-3.64),380,83.52,4.63 (4.42-4.83),16.09,7.40
astrocytes 8,603.0,0.076,50.0,89,6,6.74,1.16 (0.94-1.38),83,93.26,2.92 (2.56-3.28),5.02,6.12
oligodendrocyte progenitor cells 12,3303.0,0.045,11.0,276,67,24.28,2.93 (2.63-3.23),209,75.72,3.81 (3.54-4.08),8.39,4.06
oligodendrocytes 10,735.0,0.077,36.0,277,2,0.72,4.70 (NA-NA),275,99.28,3.89 (3.65-4.13),1.64,9.00
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338.0,0.187,75.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,158.0,0.271,85.0,30,3,10.0,4.42 (1.44-7.39),27,90.0,2.06 (1.49-2.63),1.80,13.16
da neurons 6,518.0,0.097,35.0,122,41,33.61,2.76 (2.36-3.16),81,66.39,4.80 (4.31-5.29),4.08,3.18
astrocytes microglia 23,161.0,0.254,17.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,1807.0,0.143,48.0,104,30,28.85,2.42 (1.92-2.93),74,71.15,3.04 (2.71-3.37),8.57,4.11
oligodendrocytes 0,2078.0,0.109,39.0,238,26,10.92,3.71 (3.08-4.35),212,89.08,3.63 (3.39-3.86),6.17,4.88
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.049,8.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.16,85.0,154,3,1.95,2.71 (NA-NA),151,98.05,3.25 (2.98-3.52),2.86,3.61
