tipo_celular,module_size,GRIA1_MM,GRIA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.115,13.0,127,12,9.45,2.60 (1.86-3.34),115,90.55,4.03 (3.68-4.39),4.58,5.97
GABA neurons expressing GLU receptors 22,1069.0,0.131,24.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,489.0,0.464,98.0,42,22,52.38,5.53 (4.91-6.16),20,47.62,6.34 (5.51-7.18),3.49,2.91
da like neurons 11,108.0,0.373,92.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,265.0,0.183,66.0,78,17,21.79,4.12 (3.64-4.60),61,78.21,4.45 (3.91-4.98),3.69,4.43
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.237,64.0,306,68,22.22,4.14 (3.56-4.72),238,77.78,5.36 (5.08-5.64),10.17,5.72
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.063,31.0,276,9,3.26,2.18 (1.14-3.22),267,96.74,3.60 (3.38-3.82),6.20,5.07
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.131,71.0,122,26,21.31,3.00 (2.14-3.87),96,78.69,4.35 (3.94-4.76),4.68,3.16
astrocytes microglia 23,58.0,0.38,92.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
