tipo_celular,module_size,FKBP8_MM,FKBP8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,506.0,0.215,60.0,225,18,8.0,2.99 (2.32-3.66),207,92.0,3.69 (3.42-3.95),5.24,8.13
astrocytes 5,1656.0,0.077,5.0,136,5,3.68,1.98 (1.09-2.87),131,96.32,3.26 (2.99-3.54),6.54,4.93
oligodendrocyte progenitor cells 7,296.0,0.108,8.0,251,1,0.4,8.28 (NA-NA),250,99.6,4.04 (3.81-4.27),2.15,6.17
GABA neurons expressing GLU receptors 22,487.0,0.299,76.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22),2.07,7.55
GLU like neurons 17,1316.0,0.179,88.0,101,5,4.95,4.71 (2.96-6.47),96,95.05,2.94 (2.60-3.28),3.80,3.01
da like neurons 11,1220.0,0.214,61.0,410,29,7.07,3.94 (3.23-4.66),381,92.93,4.28 (4.09-4.47),10.50,7.29
GABA neurons expressing GABA receptors 13,77.0,0.206,65.0,8,5,62.5,2.88 (1.85-3.92),3,37.5,4.52 (NA-NA),1.79,1.73
endothelial cells 9,916.0,0.136,27.0,302,7,2.32,1.95 (1.16-2.75),295,97.68,4.05 (3.82-4.27),17.83,10.48
oligodendrocytes 20,938.0,0.14,57.0,169,18,10.65,2.89 (2.23-3.55),151,89.35,3.57 (3.34-3.80),4.35,5.48
GABA like neurons 14,2402.0,0.453,85.0,455,38,8.35,3.18 (2.38-3.97),417,91.65,4.48 (4.31-4.66),19.47,7.87
astrocytes 8,520.0,0.138,58.0,288,23,7.99,3.26 (2.59-3.93),265,92.01,4.27 (4.07-4.48),6.72,4.51
oligodendrocyte progenitor cells 12,1049.0,0.09,48.0,235,8,3.4,4.85 (2.84-6.86),227,96.6,3.78 (3.56-4.01),6.20,7.66
oligodendrocytes 10,735.0,0.166,81.0,277,2,0.72,4.95 (NA-NA),275,99.28,3.89 (3.65-4.13),4.82,8.98
connective tissue cells 21,106.0,0.367,86.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1401.0,0.067,32.0,96,4,4.17,2.81 (1.80-3.81),92,95.83,3.66 (3.19-4.12),2.51,3.85
oligodendrocytes 16,158.0,0.191,44.0,30,2,6.67,3.03 (0.90-5.17),28,93.33,2.27 (1.59-2.96),1.82,12.75
da neurons 6,448.0,0.117,66.0,43,2,4.65,3.73 (3.62-3.83),41,95.35,3.25 (2.70-3.81),3.84,3.45
astrocytes microglia 23,125.0,0.323,52.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,1807.0,0.133,28.0,104,18,17.31,1.88 (1.29-2.46),86,82.69,3.09 (2.79-3.39),9.82,4.47
oligodendrocytes 0,546.0,0.121,22.0,252,28,11.11,2.29 (1.58-3.00),224,88.89,4.40 (4.17-4.64),9.89,8.00
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.106,37.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.23,40.0,213,3,1.41,3.79 (2.15-5.43),210,98.59,3.98 (3.70-4.26),7.52,7.94
