tipo_celular,module_size,LPXN_MM,LPXN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.146,46.0,35,1,2.86,NA,34,97.14,3.74 (2.80-4.69),1.37,2.92
T cells 18,388.0,0.161,55.0,84,1,1.19,3.61 (NA-NA),83,98.81,2.97 (2.63-3.30),1.31,4.36
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,233.0,0.751,99.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052.0,0.106,22.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.189,65.0,358,32,8.94,1.86 (1.41-2.32),326,91.06,4.12 (3.93-4.30),29.43,7.51
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.198,54.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,103.0,0.317,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,479.0,0.114,17.0,40,2,5.0,4.80 (4.77-4.83),38,95.0,5.93 (5.39-6.48),2.27,3.53
microglia 1,1615.0,0.163,94.0,161,21,13.04,1.93 (1.24-2.62),140,86.96,3.50 (3.23-3.77),15.31,3.95
oligodendrocytes 3,1003.0,0.089,44.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.118,12.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
