tipo_celular,module_size,OGFOD1_MM,OGFOD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.114,21.0,353,47,13.31,2.00 (1.64-2.36),306,86.69,4.24 (4.07-4.42),23.39,5.71
GABA neurons expressing GLU receptors 22,848.0,0.145,22.0,262,16,6.11,2.73 (1.82-3.63),246,93.89,4.27 (4.02-4.52),3.81,4.12
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,215.0,0.077,6.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,265.0,0.096,9.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.057,15.0,169,9,5.33,2.20 (1.26-3.15),160,94.67,3.57 (3.35-3.79),6.03,5.33
GABA like neurons 14,2402.0,0.134,19.0,455,33,7.25,2.29 (1.71-2.88),422,92.75,4.55 (4.37-4.73),18.13,8.11
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.034,7.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,806.0,0.099,26.0,261,4,1.53,4.28 (2.11-6.45),257,98.47,4.37 (4.12-4.61),4.31,6.09
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,107.0,0.267,81.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,228.0,0.081,26.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.088,8.0,238,7,2.94,2.37 (1.61-3.14),231,97.06,3.68 (3.46-3.91),8.28,4.92
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.072,37.0,76,3,3.95,5.34 (NA-NA),73,96.05,3.13 (2.73-3.52),2.14,7.50
oligodendrocytes 2,1630.0,0.151,68.0,154,1,0.65,2.76 (NA-NA),153,99.35,3.25 (2.98-3.52),3.75,3.59
