tipo_celular,module_size,HIVEP1_MM,HIVEP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.315,100.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47),1.62,4.32
astrocytes 5,1141.0,0.135,55.0,166,39,23.49,2.36 (2.02-2.70),127,76.51,3.79 (3.50-4.07),5.98,4.11
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,57,16.15,2.12 (1.84-2.40),296,83.85,4.35 (4.17-4.53),20.70,5.63
GABA neurons expressing GLU receptors 22,714.0,0.123,16.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94),2.48,4.02
GLU like neurons 17,685.0,0.113,37.0,135,27,20.0,1.94 (1.60-2.29),108,80.0,3.58 (3.23-3.92),3.73,3.75
da like neurons 11,97.0,0.246,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.298,77.0,120,9,7.5,3.10 (2.31-3.89),111,92.5,4.75 (4.42-5.07),5.14,3.53
oligodendrocytes 20,676.0,0.052,23.0,110,6,5.45,1.31 (0.80-1.82),104,94.55,5.24 (4.83-5.66),3.66,3.52
GABA like neurons 14,3052.0,0.171,76.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,262.0,0.232,87.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.101,75.0,276,43,15.58,2.04 (1.81-2.27),233,84.42,3.93 (3.69-4.16),9.33,4.33
oligodendrocytes 10,2107.0,0.155,53.0,358,69,19.27,2.24 (1.97-2.52),289,80.73,4.42 (4.23-4.61),23.90,6.03
connective tissue cells 21,100.0,0.211,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338.0,0.094,11.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,84.0,0.179,50.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,61.0,0.339,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,255.0,0.139,23.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,2078.0,0.119,60.0,238,15,6.3,2.51 (2.08-2.95),223,93.7,3.73 (3.50-3.96),5.69,4.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.116,69.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,348.0,0.151,26.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52),NA,4.39
