tipo_celular,module_size,ERGIC2_MM,ERGIC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.064,2.0,98,8,8.16,2.14 (1.14-3.13),90,91.84,3.36 (2.85-3.86),8.60,13.89
T cells 18,610.0,0.098,13.0,98,19,19.39,1.74 (1.16-2.31),79,80.61,3.50 (3.18-3.82),8.84,2.88
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.146,67.0,353,27,7.65,1.99 (1.46-2.51),326,92.35,4.10 (3.92-4.28),30.29,6.22
GABA neurons expressing GLU receptors 22,567.0,0.293,80.0,16,3,18.75,2.54 (1.95-3.14),13,81.25,1.82 (0.99-2.64),1.53,4.12
GLU like neurons 17,795.0,0.028,1.0,80,1,1.25,4.48 (NA-NA),79,98.75,5.70 (5.28-6.12),3.78,3.00
da like neurons 11,265.0,0.144,30.0,4,1,25.0,2.74 (NA-NA),3,75.0,1.47 (-0.90-3.84),1.50,1.84
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.063,9.0,275,20,7.27,1.77 (1.18-2.36),255,92.73,4.21 (3.95-4.47),10.84,5.49
oligodendrocytes 20,938.0,0.015,1.0,169,11,6.51,2.82 (1.98-3.66),158,93.49,3.54 (3.31-3.76),4.99,5.39
GABA like neurons 14,2402.0,0.202,42.0,455,26,5.71,2.36 (1.75-2.97),429,94.29,4.51 (4.32-4.69),23.05,7.97
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.035,4.0,276,21,7.61,2.51 (1.97-3.05),255,92.39,3.66 (3.43-3.88),14.08,4.37
oligodendrocytes 10,735.0,0.081,38.0,277,1,0.36,5.02 (NA-NA),276,99.64,3.89 (3.64-4.13),4.25,8.96
connective tissue cells 21,77.0,0.325,66.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,81.0,0.157,23.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,553.0,0.076,10.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,157.0,0.345,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.119,60.0,238,7,2.94,3.01 (1.78-4.23),231,97.06,3.66 (3.43-3.88),8.23,4.93
microglia 1,1615.0,0.084,14.0,161,19,11.8,1.54 (1.04-2.04),142,88.2,3.56 (3.30-3.83),14.51,4.22
oligodendrocytes 3,743.0,0.074,39.0,76,2,2.63,4.38 (3.13-5.64),74,97.37,3.12 (2.72-3.53),3.92,7.38
oligodendrocytes 2,921.0,0.154,77.0,200,5,2.5,2.95 (1.97-3.94),195,97.5,3.64 (3.37-3.91),5.57,3.41
