tipo_celular,module_size,ACOX3_MM,ACOX3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.146,91.0,136,3,2.21,1.23 (NA-NA),133,97.79,3.23 (2.95-3.50),3.54,5.02
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,23,6.52,1.85 (1.06-2.64),330,93.48,4.06 (3.88-4.24),31.57,6.43
GABA neurons expressing GLU receptors 22,487.0,0.178,33.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1247.0,0.093,20.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,153.0,0.14,25.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.066,29.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57),5.27,2.61
GABA like neurons 14,2090.0,0.214,85.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,727.0,0.125,62.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.115,86.0,276,12,4.35,2.41 (1.25-3.58),264,95.65,3.61 (3.39-3.83),15.61,4.63
oligodendrocytes 10,1277.0,0.065,21.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,101.0,0.354,83.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,1768.0,0.054,17.0,105,10,9.52,1.65 (1.01-2.29),95,90.48,3.39 (3.04-3.74),9.94,3.35
oligodendrocytes 16,91.0,0.429,100.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,115.0,0.303,47.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.158,74.0,104,11,10.58,1.55 (0.94-2.16),93,89.42,3.03 (2.74-3.32),15.83,4.16
oligodendrocytes 0,2078.0,0.117,55.0,238,5,2.1,2.04 (0.94-3.14),233,97.9,3.68 (3.46-3.90),6.49,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.041,4.0,87,10,11.49,1.71 (0.98-2.44),77,88.51,2.71 (2.43-2.99),7.40,3.83
oligodendrocytes 2,1630.0,0.136,38.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
