tipo_celular,module_size,TET1_MM,TET1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.091,12.0,28,3,10.71,2.66 (2.19-3.13),25,89.29,5.67 (5.18-6.16),2.06,2.46
oligodendrocyte progenitor cells 7,4285.0,0.106,13.0,353,64,18.13,2.34 (2.05-2.64),289,81.87,4.37 (4.18-4.55),15.32,6.46
GABA neurons expressing GLU receptors 22,1069.0,0.077,4.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,172.0,0.17,30.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,250.0,0.279,76.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2090.0,0.105,16.0,74,16,21.62,2.25 (2.03-2.48),58,78.38,3.15 (2.68-3.62),3.31,12.48
astrocytes 8,1266.0,0.085,55.0,66,17,25.76,2.03 (1.38-2.68),49,74.24,3.73 (3.29-4.18),3.11,2.90
oligodendrocyte progenitor cells 12,3303.0,0.038,6.0,276,44,15.94,2.05 (1.82-2.28),232,84.06,3.94 (3.70-4.17),7.11,4.73
oligodendrocytes 10,1277.0,0.068,22.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,95.0,0.284,55.0,4,3,75.0,2.91 (2.68-3.14),1,25.0,5.16 (NA-NA),1.75,1.62
astrocytes 15,208.0,0.057,31.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,105.0,0.213,46.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,127.0,0.29,35.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,787.0,0.109,3.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.112,45.0,238,23,9.66,2.74 (2.35-3.14),215,90.34,3.75 (3.51-3.99),5.34,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.055,14.0,127,7,5.51,3.63 (2.49-4.78),120,94.49,3.10 (2.76-3.44),5.08,4.19
oligodendrocytes 2,1630.0,0.123,17.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
