tipo_celular,module_size,SMAD3_MM,SMAD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.256,77.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,477.0,0.231,83.0,43,1,2.33,NA,42,97.67,2.03 (1.52-2.53),1.80,7.25
astrocytes 5,322.0,0.198,62.0,58,22,37.93,3.34 (2.76-3.92),36,62.07,4.70 (4.19-5.21),2.21,2.39
oligodendrocyte progenitor cells 7,4285.0,0.118,25.0,353,90,25.5,2.41 (2.16-2.66),263,74.5,4.54 (4.36-4.72),16.77,5.09
GABA neurons expressing GLU receptors 22,823.0,0.154,33.0,23,2,8.7,1.01 (NA-NA),21,91.3,2.48 (1.73-3.23),1.80,3.58
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.201,60.0,141,28,19.86,3.55 (2.83-4.26),113,80.14,2.83 (2.59-3.07),2.70,7.84
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,1266.0,0.135,83.0,66,27,40.91,2.07 (1.62-2.53),39,59.09,4.19 (3.75-4.64),3.62,2.49
oligodendrocyte progenitor cells 12,218.0,0.283,55.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,118.0,0.165,0.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,1401.0,0.161,91.0,96,16,16.67,3.41 (2.48-4.35),80,83.33,3.66 (3.15-4.16),3.30,3.90
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.209,18.0,57,9,15.79,2.71 (2.35-3.07),48,84.21,2.64 (2.22-3.06),1.97,3.59
astrocytes 4,171.0,0.183,55.0,22,2,9.09,4.00 (1.15-6.84),20,90.91,4.61 (3.61-5.62),1.48,2.07
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.149,89.0,290,52,17.93,3.57 (3.04-4.10),238,82.07,3.87 (3.62-4.12),5.15,4.97
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
