tipo_celular,module_size,TAF11_MM,TAF11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.068,3.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84),NA,3.54
T cells 18,506.0,0.063,2.0,225,14,6.22,2.46 (1.76-3.17),211,93.78,3.72 (3.46-3.98),6.36,8.01
astrocytes 5,1656.0,0.103,29.0,136,9,6.62,3.15 (2.12-4.18),127,93.38,3.21 (2.93-3.49),4.59,5.02
oligodendrocyte progenitor cells 7,4285.0,0.094,6.0,353,63,17.85,2.14 (1.88-2.41),290,82.15,4.40 (4.22-4.57),21.34,5.18
GABA neurons expressing GLU receptors 22,848.0,0.132,16.0,262,13,4.96,1.92 (1.27-2.57),249,95.04,4.30 (4.05-4.54),4.88,4.06
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.103,16.0,302,4,1.32,2.63 (0.06-5.19),298,98.68,4.01 (3.78-4.23),4.08,10.74
oligodendrocytes 20,403.0,0.179,70.0,18,10,55.56,0.95 (0.48-1.41),8,44.44,3.04 (2.13-3.95),4.74,2.61
GABA like neurons 14,2402.0,0.125,16.0,455,29,6.37,1.88 (1.40-2.36),426,93.63,4.58 (4.40-4.76),20.61,8.03
astrocytes 8,262.0,0.039,4.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.05,15.0,276,53,19.2,2.24 (2.00-2.49),223,80.8,3.97 (3.72-4.21),10.12,3.92
oligodendrocytes 10,2107.0,0.046,5.0,358,73,20.39,2.13 (1.87-2.38),285,79.61,4.46 (4.28-4.64),23.37,5.91
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.051,23.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29),1.44,1.63
oligodendrocytes 16,92.0,0.257,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,132.0,0.274,30.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,1807.0,0.147,56.0,104,30,28.85,2.01 (1.60-2.42),74,71.15,3.25 (2.93-3.57),10.37,3.38
oligodendrocytes 0,2078.0,0.106,33.0,238,17,7.14,2.62 (2.13-3.11),221,92.86,3.72 (3.49-3.96),6.16,4.94
microglia 1,1615.0,0.066,2.0,161,59,36.65,2.17 (1.89-2.45),102,63.35,4.16 (3.86-4.47),9.05,3.34
oligodendrocytes 3,639.0,0.052,10.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,1630.0,0.135,36.0,154,2,1.3,5.50 (0.04-10.95),152,98.7,3.21 (2.95-3.47),1.62,3.62
