tipo_celular,module_size,HUS1_MM,HUS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.152,51.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.131,43.0,353,39,11.05,2.15 (1.66-2.63),314,88.95,4.17 (3.99-4.35),26.18,5.81
GABA neurons expressing GLU receptors 22,400.0,0.18,38.0,24,6,25.0,0.48 (0.34-0.63),18,75.0,2.71 (2.28-3.14),5.15,3.06
GLU like neurons 17,1316.0,0.131,57.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41),2.00,3.06
da like neurons 11,140.0,0.149,21.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.074,6.0,120,6,5.0,2.44 (1.87-3.01),114,95.0,4.74 (4.42-5.05),7.43,3.45
oligodendrocytes 20,676.0,0.042,16.0,110,5,4.55,1.33 (0.79-1.88),105,95.45,5.24 (4.82-5.66),3.77,3.51
GABA like neurons 14,3052.0,0.13,42.0,125,2,1.6,3.13 (2.95-3.30),123,98.4,3.36 (3.03-3.69),3.66,8.69
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.193,74.0,32,9,28.12,1.21 (0.56-1.85),23,71.88,4.21 (3.35-5.07),3.58,2.21
oligodendrocytes 10,2107.0,0.025,1.0,358,54,15.08,2.44 (2.01-2.87),304,84.92,4.21 (4.02-4.40),22.13,7.22
connective tissue cells 21,91.0,0.295,57.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,149.0,0.079,0.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,37.0,0.524,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.116,54.0,238,9,3.78,3.39 (2.02-4.76),229,96.22,3.65 (3.42-3.87),6.40,4.97
microglia 1,1615.0,0.098,32.0,161,34,21.12,2.37 (1.76-2.97),127,78.88,3.59 (3.32-3.86),11.96,3.69
oligodendrocytes 3,854.0,0.058,13.0,76,2,2.63,3.26 (-2.72-9.24),74,97.37,2.77 (2.45-3.08),2.19,4.79
oligodendrocytes 2,1630.0,0.13,26.0,154,1,0.65,3.22 (NA-NA),153,99.35,3.24 (2.98-3.51),2.89,3.60
