tipo_celular,module_size,SEC11A_MM,SEC11A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.181,68.0,71,3,4.23,1.71 (0.01-3.42),68,95.77,2.67 (2.25-3.09),3.39,3.58
T cells 18,506.0,0.136,28.0,225,12,5.33,2.57 (1.60-3.53),213,94.67,3.69 (3.44-3.95),6.37,7.99
astrocytes 5,1656.0,0.102,29.0,136,10,7.35,2.85 (2.14-3.56),126,92.65,3.24 (2.95-3.53),5.23,4.97
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,24,6.8,1.42 (1.01-1.82),329,93.2,4.13 (3.95-4.30),30.45,6.43
GABA neurons expressing GLU receptors 22,567.0,0.146,29.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,204.0,0.19,52.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.122,22.0,302,13,4.3,3.25 (2.39-4.11),289,95.7,4.03 (3.79-4.26),6.44,10.84
oligodendrocytes 20,233.0,0.18,44.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2090.0,0.115,23.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,47.0,0.046,24.0,76,0,0.0,NA,76,100.0,4.02 (3.72-4.33),NA,4.61
oligodendrocyte progenitor cells 12,1049.0,0.062,27.0,235,10,4.26,3.99 (3.09-4.89),225,95.74,3.81 (3.57-4.05),4.41,7.76
oligodendrocytes 10,483.0,0.14,58.0,129,1,0.78,6.60 (NA-NA),128,99.22,3.40 (3.01-3.79),1.96,19.32
connective tissue cells 21,106.0,0.488,100.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,1401.0,0.079,44.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,113.0,0.233,89.0,11,3,27.27,3.82 (3.82-3.82),8,72.73,0.96 (0.19-1.74),1.56,1.80
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,115.0,0.271,22.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.145,51.0,104,21,20.19,2.04 (1.49-2.60),83,79.81,3.09 (2.78-3.40),9.55,4.35
oligodendrocytes 0,2078.0,0.106,33.0,238,3,1.26,1.98 (0.20-3.77),235,98.74,3.66 (3.44-3.88),11.09,4.94
microglia 1,406.0,0.102,17.0,278,1,0.36,2.61 (NA-NA),277,99.64,4.37 (4.10-4.64),1.95,6.75
oligodendrocytes 3,854.0,0.045,3.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.145,56.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
