tipo_celular,module_size,SH3BP4_MM,SH3BP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.146,67.0,353,30,8.5,2.87 (2.14-3.60),323,91.5,4.00 (3.81-4.19),16.10,7.32
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.29,76.0,120,25,20.83,3.83 (3.26-4.40),95,79.17,4.85 (4.49-5.21),4.44,3.44
oligodendrocytes 20,279.0,0.159,30.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09),1.81,3.59
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.442,95.0,32,12,37.5,2.12 (1.35-2.89),20,62.5,3.97 (2.85-5.09),3.02,2.34
oligodendrocytes 10,1277.0,0.149,72.0,27,1,3.7,6.33 (NA-NA),26,96.3,5.35 (4.44-6.26),1.48,6.56
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,122.0,0.109,2.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06),NA,1.95
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,1186.0,0.161,77.0,300,20,6.67,4.24 (3.51-4.97),280,93.33,3.76 (3.55-3.98),3.79,4.18
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.093,49.0,87,11,12.64,2.16 (1.35-2.96),76,87.36,2.64 (2.36-2.93),3.23,4.39
oligodendrocytes 2,348.0,0.103,5.0,114,5,4.39,4.78 (3.77-5.80),109,95.61,5.14 (4.70-5.57),2.18,4.49
