tipo_celular,module_size,SMG5_MM,SMG5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.249,96.0,71,9,12.68,1.93 (1.29-2.58),62,87.32,2.74 (2.28-3.21),2.41,3.75
T cells 18,477.0,0.132,31.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656.0,0.073,3.0,136,7,5.15,1.65 (1.31-1.99),129,94.85,3.30 (3.03-3.58),6.72,4.89
oligodendrocyte progenitor cells 7,4285.0,0.118,25.0,353,73,20.68,2.86 (2.44-3.29),280,79.32,4.26 (4.08-4.44),17.08,5.71
GABA neurons expressing GLU receptors 22,599.0,0.216,53.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1316.0,0.06,5.0,101,2,1.98,NA,99,98.02,3.05 (2.70-3.40),2.26,3.07
da like neurons 11,142.0,0.215,47.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.09,36.0,275,70,25.45,3.05 (2.59-3.50),205,74.55,4.44 (4.16-4.73),9.28,4.72
oligodendrocytes 20,330.0,0.115,25.0,36,15,41.67,2.02 (1.68-2.37),21,58.33,1.84 (1.28-2.41),2.13,3.84
GABA like neurons 14,2090.0,0.209,83.0,74,7,9.46,1.89 (1.65-2.14),67,90.54,3.07 (2.66-3.48),3.25,11.26
astrocytes 8,603.0,0.042,13.0,89,9,10.11,1.35 (1.04-1.67),80,89.89,2.99 (2.61-3.36),6.30,6.01
oligodendrocyte progenitor cells 12,3303.0,0.045,11.0,276,54,19.57,2.63 (2.18-3.09),222,80.43,3.83 (3.59-4.06),7.99,4.41
oligodendrocytes 10,2107.0,0.047,5.0,358,81,22.63,2.95 (2.54-3.36),277,77.37,4.25 (4.07-4.44),18.01,6.98
connective tissue cells 21,111.0,0.405,95.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 15,1768.0,0.094,56.0,105,29,27.62,2.32 (1.79-2.85),76,72.38,3.59 (3.20-3.98),5.39,3.44
oligodendrocytes 16,121.0,0.204,45.0,3,1,33.33,4.47 (NA-NA),2,66.67,2.17 (1.28-3.06),1.49,2.40
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,121.0,0.273,27.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,1807.0,0.137,34.0,104,25,24.04,1.66 (1.29-2.03),79,75.96,3.29 (2.98-3.59),8.85,4.30
oligodendrocytes 0,2078.0,0.103,26.0,238,22,9.24,4.37 (3.57-5.17),216,90.76,3.55 (3.32-3.77),5.51,4.97
microglia 1,958.0,0.112,51.0,290,41,14.14,4.24 (3.67-4.82),249,85.86,3.73 (3.48-3.97),5.80,4.87
oligodendrocytes 3,357.0,0.06,20.0,127,8,6.3,5.33 (4.15-6.50),119,93.7,2.93 (2.61-3.25),2.34,4.36
oligodendrocytes 2,1630.0,0.13,26.0,154,1,0.65,3.35 (NA-NA),153,99.35,3.24 (2.98-3.51),3.01,3.60
