tipo_celular,module_size,HSPB8_MM,HSPB8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.17,63.0,80,3,3.75,4.94 (1.12-8.77),77,96.25,3.33 (2.86-3.80),3.35,5.08
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.115,22.0,410,12,2.93,4.84 (3.33-6.34),398,97.07,4.22 (4.04-4.41),7.93,7.50
GABA neurons expressing GABA receptors 13,266.0,0.122,26.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,303.0,0.139,36.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.18,34.0,455,27,5.93,3.05 (2.10-3.99),428,94.07,4.45 (4.27-4.63),20.16,8.12
astrocytes 8,577.0,0.194,91.0,83,5,6.02,4.68 (2.01-7.35),78,93.98,3.14 (2.70-3.57),3.18,4.55
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.147,89.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14),1.67,3.87
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.066,9.0,235,10,4.26,3.87 (2.43-5.31),225,95.74,3.98 (3.73-4.23),5.22,4.38
astrocytes microglia 23,327.0,0.278,29.0,120,18,15.0,2.27 (1.35-3.20),102,85.0,3.91 (3.64-4.18),4.29,2.53
astrocytes 4,514.0,0.282,82.0,95,7,7.37,2.90 (0.85-4.95),88,92.63,3.42 (3.00-3.84),3.31,4.75
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
