tipo_celular,module_size,TSC22D4_MM,TSC22D4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.227,64.0,15,6,40.0,5.88 (4.87-6.89),9,60.0,5.69 (4.61-6.76),2.49,2.23
T cells 18,624.0,0.056,0.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47),1.62,4.32
astrocytes 5,328.0,0.26,81.0,128,1,0.78,3.77 (NA-NA),127,99.22,3.57 (3.22-3.91),2.40,6.80
oligodendrocyte progenitor cells 7,628.0,0.289,89.0,164,3,1.83,4.36 (3.79-4.92),161,98.17,4.08 (3.74-4.41),1.61,7.64
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,637.0,0.238,73.0,91,16,17.58,1.88 (1.11-2.65),75,82.42,5.37 (4.93-5.81),3.23,3.02
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.137,26.0,74,19,25.68,5.77 (4.83-6.71),55,74.32,5.32 (4.63-6.00),5.38,3.03
oligodendrocytes 20,938.0,0.284,93.0,169,4,2.37,0.95 (0.27-1.63),165,97.63,3.56 (3.34-3.77),3.22,5.42
GABA like neurons 14,3052.0,0.071,6.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,603.0,0.152,81.0,89,6,6.74,1.16 (0.94-1.38),83,93.26,2.92 (2.56-3.28),5.02,6.12
oligodendrocyte progenitor cells 12,1049.0,0.328,93.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,1277.0,0.175,82.0,27,3,11.11,7.31 (5.40-9.21),24,88.89,5.17 (4.28-6.06),2.05,6.92
connective tissue cells 21,111.0,0.208,13.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 15,443.0,0.105,14.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,86.0,0.201,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.247,36.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,208.0,0.179,39.0,173,5,2.89,4.01 (2.73-5.29),168,97.11,3.79 (3.48-4.10),3.54,5.68
oligodendrocytes 0,546.0,0.39,98.0,252,13,5.16,1.07 (0.55-1.60),239,94.84,4.31 (4.08-4.55),10.78,8.07
microglia 1,127.0,0.106,16.0,24,5,20.83,6.20 (5.24-7.16),19,79.17,4.80 (3.97-5.63),2.94,2.35
oligodendrocytes 3,303.0,0.21,75.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.523,95.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
