tipo_celular,module_size,NRBP2_MM,NRBP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.182,68.0,28,3,10.71,5.19 (4.84-5.54),25,89.29,5.32 (4.66-5.99),2.65,2.39
oligodendrocyte progenitor cells 7,200.0,0.143,35.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,567.0,0.15,30.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64),NA,3.63
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.124,45.0,133,13,9.77,3.12 (2.34-3.89),120,90.23,3.27 (2.93-3.61),4.12,4.17
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.166,68.0,169,4,2.37,3.19 (1.15-5.23),165,97.63,3.49 (3.27-3.71),2.92,5.42
GABA like neurons 14,3052.0,0.124,37.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.094,41.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708.0,0.055,14.0,25,4,16.0,4.94 (1.76-8.12),21,84.0,2.38 (1.53-3.23),2.36,2.57
oligodendrocytes 10,1277.0,0.124,61.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,100.0,0.267,49.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,338.0,0.197,79.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,112.0,0.157,31.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,141.0,0.225,35.0,30,5,16.67,5.09 (4.67-5.51),25,83.33,5.83 (4.70-6.97),4.02,4.05
astrocytes 4,251.0,0.157,46.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,479.0,0.128,30.0,40,3,7.5,4.52 (3.48-5.56),37,92.5,6.00 (5.46-6.54),2.67,3.53
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.103,56.0,15,5,33.33,1.93 (0.82-3.03),10,66.67,4.18 (2.26-6.10),2.49,2.08
oligodendrocytes 2,347.0,0.172,38.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
