tipo_celular,module_size,UBXN7_MM,UBXN7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.195,67.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,610.0,0.194,77.0,98,32,32.65,2.18 (1.66-2.70),66,67.35,3.58 (3.24-3.92),6.93,2.63
astrocytes 5,1656.0,0.097,23.0,136,9,6.62,3.47 (2.97-3.97),127,93.38,3.19 (2.91-3.48),3.62,5.09
oligodendrocyte progenitor cells 7,4285.0,0.15,72.0,353,37,10.48,2.20 (1.73-2.67),316,89.52,4.13 (3.95-4.31),28.24,5.70
GABA neurons expressing GLU receptors 22,400.0,0.098,5.0,24,12,50.0,1.50 (0.76-2.24),12,50.0,2.81 (2.32-3.30),5.07,2.10
GLU like neurons 17,1316.0,0.091,20.0,101,5,4.95,4.05 (NA-NA),96,95.05,3.04 (2.69-3.39),3.02,3.06
da like neurons 11,289.0,0.118,22.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.073,8.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,228.0,0.047,10.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA),2.65,1.72
GABA like neurons 14,3052.0,0.137,48.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,354.0,0.082,24.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.057,23.0,276,29,10.51,2.65 (2.17-3.13),247,89.49,3.66 (3.43-3.90),13.47,4.13
oligodendrocytes 10,2107.0,0.132,44.0,358,36,10.06,2.17 (1.66-2.67),322,89.94,4.08 (3.89-4.28),30.90,7.08
connective tissue cells 21,96.0,0.273,40.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.076,39.0,105,28,26.67,2.61 (2.13-3.09),77,73.33,3.46 (3.04-3.87),6.99,2.88
oligodendrocytes 16,84.0,0.29,94.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.263,16.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,787.0,0.18,94.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.136,89.0,238,4,1.68,2.04 (-1.56-5.63),234,98.32,3.65 (3.43-3.87),9.75,4.94
microglia 1,1615.0,0.142,85.0,161,27,16.77,1.93 (1.39-2.47),134,83.23,3.60 (3.33-3.88),13.64,3.78
oligodendrocytes 3,681.0,0.09,46.0,87,21,24.14,1.90 (1.37-2.43),66,75.86,2.78 (2.48-3.08),6.87,3.40
oligodendrocytes 2,921.0,0.161,85.0,200,4,2.0,2.36 (1.59-3.13),196,98.0,3.65 (3.38-3.92),4.05,3.45
